,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,0.37,0.72,0.58,0.2,0.45,0.67,0.0,0.04,0.02,0.13,0.33,0.66
emulemorph.csv,0.02,0.02,0.0,0.68,0.0,0.05,0.19,0.01,0.13,0.2,0.21,0.13
fulguro.csv,0.69,0.34,0.44,0.75,0.37,0.37,0.61,0.52,0.4,0.55,0.57,0.58
fw4spl.csv,0.3,0.37,0.57,0.0,0.6,0.14,0.44,0.01,0.43,0.14,0.54,0.49
gnome-jabber.csv,0.46,0.62,0.69,0.78,0.52,0.22,0.73,0.62,0.41,0.44,0.21,0.71
ipfilter.csv,0.62,0.51,0.42,0.47,0.67,0.46,0.6,0.0,0.92,0.68,0.66,0.57
ipfire-wall.csv,0.47,0.27,0.2,0.0,0.81,0.22,0.44,0.15,0.5,0.29,0.46,0.49
libmesh.csv,0.09,0.21,0.12,0.2,0.31,0.67,0.33,0.0,0.0,0.33,0.39,0.27
rockbox.csv,0.2,0.45,0.65,0.38,0.52,0.34,0.5,0.33,0.11,0.1,0.56,0.77
soar.csv,0.33,0.0,0.45,0.0,0.0,0.0,0.6,0.0,0.21,0.49,0.0,0.0
tencompetence.csv,0.47,0.17,0.1,0.52,0.49,0.53,0.58,0.38,0.2,0.79,0.7,0.13
xbrlapi.csv,0.67,0.09,0.39,0.74,0.6,0.34,0.52,0.0,0.26,0.29,0.65,0.42
