,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.1,0.27,1.0,0.1,0.36
nabu-library.csv,0.56,0.44,0.35,0.34,0.99
pcgen.csv,0.1,0.96,0.31,0.53,0.32
selenium.csv,0.98,0.33,0.13,0.44,0.32
tolven.csv,0.1,0.31,0.0,0.96,0.11
