,freelords.csv,gpsmid.csv,empserver.csv,unbvision.csv,n2cms.csv,twostep.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
empserver.csv,0.73,0.56,0.67,0.27,0.42,0.35,0.25,0.35,0.36
freelords.csv,0.81,0.76,0.54,0.29,0.49,0.49,0.35,0.45,0.33
gpsmid.csv,0.85,0.81,0.52,0.21,0.39,0.45,0.46,0.4,0.29
magicwars.csv,0.79,0.64,0.52,0.26,0.42,0.36,0.8,0.35,0.26
n2cms.csv,0.8,0.85,0.55,0.33,0.65,0.47,0.28,0.45,0.41
turbotrader-bos.csv,0.81,0.86,0.62,0.52,0.4,0.47,0.77,0.62,0.38
twostep.csv,0.75,0.66,0.59,0.29,0.42,0.7,0.32,0.38,0.28
unbvision.csv,0.83,0.67,0.47,0.5,0.58,0.69,0.78,0.59,0.75
xmemcached.csv,0.75,0.62,0.51,0.25,0.44,0.32,0.33,0.34,0.53
