,freelords.csv,gpsmid.csv,empserver.csv,unbvision.csv,n2cms.csv,twostep.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
empserver.csv,0.84,0.67,0.61,0.4,0.55,0.5,0.37,0.51,0.49
freelords.csv,0.75,0.76,0.55,0.4,0.62,0.62,0.46,0.59,0.46
gpsmid.csv,0.58,0.8,0.69,0.31,0.46,0.61,0.52,0.56,0.43
magicwars.csv,0.83,0.76,0.69,0.41,0.59,0.52,0.71,0.51,0.39
n2cms.csv,0.8,0.7,0.64,0.39,0.7,0.63,0.39,0.56,0.49
turbotrader-bos.csv,0.27,0.64,0.38,0.51,0.36,0.59,0.42,0.65,0.48
twostep.csv,0.7,0.76,0.6,0.42,0.58,0.78,0.48,0.52,0.42
unbvision.csv,0.63,0.64,0.53,0.61,0.41,0.46,0.41,0.55,0.39
xmemcached.csv,0.74,0.7,0.65,0.38,0.56,0.46,0.44,0.5,0.6
