,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.24,0.37,0.46,0.17,0.4,0.27,0.37,0.68,0.67,0.59,0.46,0.56,0.51,0.0,0.35,0.59,0.74
checker-framework.csv,0.05,0.21,0.05,0.05,0.13,0.44,0.2,0.45,0.78,0.5,0.3,0.58,0.13,0.34,0.13,0.35,0.46
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.02,0.0,0.0,0.0,1.0
ctrlr.csv,0.11,0.17,0.0,0.61,0.11,0.1,0.22,0.05,0.35,0.15,0.28,0.42,0.11,0.79,0.05,0.04,0.0
fontforge.csv,0.62,0.13,0.13,0.53,0.77,0.0,0.09,0.72,0.75,0.72,0.63,0.42,0.49,0.29,0.35,0.48,0.51
gusanos.csv,0.56,0.51,0.53,0.33,0.66,0.69,0.15,0.65,0.63,0.5,0.51,0.73,0.35,0.52,0.82,0.64,0.85
jvcl.csv,0.45,0.47,0.59,0.0,0.31,0.42,0.07,0.63,0.36,0.0,0.36,0.06,0.24,0.0,0.26,0.54,0.0
kwave.csv,0.46,0.46,0.17,0.5,0.37,0.38,0.49,0.13,0.64,0.52,0.69,0.59,0.27,0.36,0.62,0.05,0.68
liferea.csv,0.39,0.64,0.07,0.17,0.31,0.75,0.34,0.49,0.6,0.56,0.34,0.58,0.55,0.43,0.25,0.51,0.43
lockss.csv,0.53,0.25,0.29,0.0,0.5,0.61,0.15,0.5,0.43,0.29,0.37,0.61,0.24,0.0,0.23,0.62,0.45
magicwars.csv,0.26,0.0,0.51,0.13,0.3,0.0,0.0,0.27,0.65,0.0,0.68,0.0,0.26,0.0,0.0,0.17,0.57
psrchive.csv,0.31,0.73,0.0,0.7,0.0,0.56,0.14,0.46,0.49,0.37,0.19,0.31,0.13,0.06,0.49,0.6,0.59
pydev.csv,0.39,0.34,0.48,0.46,0.31,0.18,0.23,0.53,0.36,0.05,0.26,0.27,0.46,0.0,0.31,0.7,0.76
sarasvati.csv,0.75,0.25,0.14,0.55,0.79,0.27,0.43,0.24,0.18,0.05,0.52,0.21,0.55,0.42,0.26,0.51,0.0
stuproa-cims.csv,0.46,0.0,0.36,0.17,0.11,0.0,0.36,0.53,0.59,0.48,0.32,0.37,0.66,0.0,0.18,0.56,0.61
thout.csv,0.66,0.47,0.53,0.45,0.56,0.27,0.43,0.7,0.66,0.0,0.52,0.36,0.37,0.0,0.48,0.52,0.83
zact.csv,0.31,0.33,0.28,0.83,0.33,0.34,0.44,0.1,0.25,0.14,0.28,0.43,0.25,0.66,0.52,0.22,0.0
