,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.52,0.35,0.8,0.4,0.42,0.72,0.63,0.74,0.12,0.0,0.09,0.46
emono.csv,0.53,0.34,0.81,0.36,0.39,0.66,0.6,0.74,0.12,0.06,0.34,0.75
freedom-erp.csv,0.71,0.08,0.61,0.07,0.0,0.0,0.41,0.75,0.0,0.0,0.0,0.12
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.0,0.0,0.4,0.0,0.0
jmoney.csv,0.81,0.29,0.83,0.39,0.43,0.64,0.31,0.64,0.19,0.0,0.37,0.63
jmonkeyengine.csv,0.21,0.23,0.42,0.52,0.59,0.44,0.23,0.0,0.12,0.07,0.38,0.72
jsidplay2.csv,0.67,0.15,0.86,0.11,0.32,0.67,0.74,0.78,0.12,0.0,0.03,0.18
matrex.csv,0.65,0.31,0.51,0.0,0.08,0.66,0.83,0.47,0.0,0.0,0.25,0.27
mediate.csv,0.31,0.33,0.37,0.26,0.35,0.72,0.57,0.71,0.13,0.07,0.0,0.37
mesa3d.csv,0.41,0.24,0.59,0.43,0.35,0.73,0.58,0.76,0.16,0.0,0.43,0.69
pustefix.csv,0.2,0.07,0.23,0.56,0.5,0.21,0.09,0.11,0.04,0.12,0.36,0.59
reaper3d.csv,0.54,0.24,0.7,0.32,0.28,0.27,0.59,0.74,0.26,0.0,0.05,0.51
