,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.64,0.82,0.75,0.52,0.55,0.62,0.89,0.89,0.95,0.96,0.95,0.47,0.93
flylinkdc.csv,0.69,0.5,0.93,0.67,0.92,0.77,0.89,0.75,0.46,0.62,0.67,0.68,0.67
fw4spl.csv,0.95,0.96,0.98,0.67,0.97,0.94,0.94,0.92,0.96,0.84,0.75,0.99,0.94
grisbi.csv,0.34,0.56,0.37,0.36,0.39,0.34,0.32,0.35,0.34,0.42,0.42,0.37,0.35
mesa3d.csv,0.78,0.76,0.78,0.64,0.98,0.89,0.9,0.8,0.9,0.95,0.94,0.93,0.93
nuttx.csv,0.36,0.61,0.42,0.38,0.43,0.44,0.36,0.44,0.43,0.86,0.63,0.62,0.65
panda3d.csv,0.91,0.84,0.92,0.91,0.95,0.75,0.9,0.5,0.82,0.77,0.9,0.94,0.79
proftp.csv,0.52,0.72,0.56,0.43,0.47,0.48,0.68,0.75,0.55,0.52,0.53,0.76,0.42
qmmp.csv,0.51,0.63,0.46,0.48,0.42,0.4,0.5,0.58,0.4,0.49,0.52,0.58,0.58
skia.csv,0.93,0.64,0.92,0.64,0.92,0.75,0.75,0.91,0.88,0.92,0.82,0.95,0.64
tart.csv,0.0,0.0,0.67,0.75,0.93,0.75,0.8,0.5,0.8,0.5,0.0,0.0,0.0
tcvp.csv,0.96,0.94,0.8,0.82,0.98,0.8,0.89,0.89,0.9,0.94,0.95,0.96,0.71
utgb.csv,0.95,0.63,0.62,0.56,0.85,0.0,0.67,0.0,0.86,0.94,0.96,0.82,0.77
