,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.24,0.52,0.95,0.69,0.5,0.43,0.24,0.0,0.2,0.12,0.24,0.81,0.17
flylinkdc.csv,0.97,0.01,0.07,0.06,0.06,0.27,0.12,0.0,0.6,0.21,0.29,0.28,0.22
fw4spl.csv,0.11,0.11,0.14,0.09,0.81,0.23,0.12,0.11,0.2,0.29,0.05,0.2,0.17
grisbi.csv,0.86,0.57,0.76,0.94,0.96,1.0,0.98,0.89,1.0,0.73,0.86,0.81,0.83
mesa3d.csv,0.35,0.35,0.17,0.31,0.21,0.23,0.14,0.33,0.2,0.21,0.21,0.83,0.22
nuttx.csv,0.7,0.99,0.81,0.74,0.85,0.47,0.64,0.56,0.6,0.19,0.35,0.43,0.3
panda3d.csv,0.08,0.27,0.07,0.2,0.33,0.03,0.15,0.0,0.4,0.92,0.33,0.22,0.3
proftp.csv,0.59,0.21,0.21,0.46,0.58,0.97,0.3,0.22,0.4,0.31,0.37,0.26,0.61
qmmp.csv,0.65,0.41,0.57,0.46,0.79,0.53,0.44,0.33,0.6,0.38,0.95,0.49,0.3
skia.csv,0.11,0.17,0.14,0.46,0.38,0.07,0.05,0.11,0.2,0.12,0.22,0.09,0.96
tart.csv,0.0,0.0,0.07,0.06,0.06,0.07,0.08,0.0,1.0,0.02,0.0,0.0,0.0
tcvp.csv,0.19,0.08,0.26,0.34,0.23,0.1,0.12,0.89,0.0,0.21,0.11,0.09,0.26
utgb.csv,0.27,0.5,0.24,0.97,0.25,0.03,0.05,0.0,0.2,0.06,0.22,0.35,0.3
