,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.93,0.97,0.87,0.54,0.67,0.51,0.73,0.48,0.53,0.68,0.64,0.89,0.46,0.8,0.62
continuum-ide.csv,0.92,0.8,0.96,0.0,0.86,0.91,0.0,0.56,0.9,0.83,0.9,0.86,0.88,0.8,0.63
fleet-simulator.csv,0.42,0.49,0.38,0.44,0.42,0.49,0.46,0.33,0.41,0.37,0.44,0.4,0.3,0.44,0.38
hydrate.csv,0.83,0.9,0.66,0.67,0.83,0.8,0.8,0.3,0.75,0.72,0.48,0.88,0.82,0.56,0.39
ivef-sdk.csv,0.45,0.46,0.7,0.48,0.54,0.61,0.56,0.86,0.51,0.62,0.67,0.49,0.83,0.95,0.75
jmri.csv,0.83,0.81,0.58,0.83,0.68,0.92,0.67,0.36,0.78,0.55,0.43,0.87,0.63,0.68,0.5
kdenlive.csv,0.43,0.43,0.42,0.36,0.45,0.44,0.54,0.3,0.39,0.36,0.4,0.39,0.29,0.48,0.38
mia.csv,0.93,0.96,0.9,0.83,0.77,0.93,0.9,0.5,0.94,0.73,0.5,0.85,0.84,0.94,0.9
ontopia.csv,0.41,0.46,0.45,0.43,0.45,0.51,0.75,0.43,0.41,0.36,0.94,0.77,0.44,0.47,0.91
opentibia.csv,0.41,0.43,0.46,0.41,0.39,0.57,0.42,0.39,0.45,0.35,0.49,0.34,0.39,0.44,0.39
runuomondains.csv,0.92,0.91,0.93,0.82,0.0,0.67,0.0,0.5,0.75,0.67,0.86,0.89,0.83,0.0,0.67
somap.csv,0.43,0.44,0.4,0.46,0.4,0.43,0.42,0.34,0.41,0.32,0.53,0.35,0.35,0.44,0.4
taverna.csv,0.96,0.9,0.69,0.94,0.74,0.75,0.95,0.88,0.72,0.6,0.78,0.69,0.48,0.92,0.75
tigermud.csv,0.42,0.45,0.39,0.46,0.39,0.63,0.45,0.33,0.44,0.37,0.46,0.31,0.31,0.54,0.37
x-ray-mule.csv,0.57,0.8,0.99,0.67,0.83,0.75,0.93,0.5,0.83,0.94,0.0,0.95,0.87,0.9,0.5
