,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.37,0.42,0.28,0.41,0.33,0.1,0.95,0.52,0.19,0.38,0.05,0.22,0.68,0.36,0.51
continuum-ide.csv,0.17,0.11,0.14,0.0,0.18,0.03,0.06,0.97,0.21,0.15,0.33,0.18,0.26,0.2,0.46
fleet-simulator.csv,0.71,0.83,0.55,0.77,0.51,0.73,0.67,0.45,0.15,0.76,0.22,0.72,1.0,0.76,0.78
hydrate.csv,0.1,0.22,0.36,0.0,0.26,0.0,0.11,0.52,0.22,0.32,0.34,0.2,0.34,0.23,0.97
ivef-sdk.csv,0.72,0.75,0.51,0.81,0.48,1.0,0.63,0.0,0.14,0.71,0.0,0.75,0.39,0.39,0.05
jmri.csv,0.44,0.54,0.98,0.11,0.4,0.03,0.22,0.49,0.26,0.5,0.29,0.32,0.54,0.48,0.64
kdenlive.csv,0.99,0.73,0.52,0.38,0.45,0.16,0.32,0.44,0.22,0.7,0.24,0.72,0.94,0.48,0.71
mia.csv,0.28,0.37,0.4,0.11,0.28,0.32,0.3,0.0,0.97,0.35,0.0,0.43,0.3,0.24,0.28
ontopia.csv,0.74,0.8,0.57,0.75,0.48,0.69,0.16,0.34,0.16,0.99,0.0,0.38,0.79,0.65,0.27
opentibia.csv,0.76,1.0,0.6,0.68,0.51,0.92,0.67,0.43,0.17,0.87,0.22,0.94,0.85,0.74,0.71
runuomondains.csv,0.27,0.21,0.04,0.34,0.0,0.03,0.0,0.11,0.09,0.05,0.93,0.17,0.2,0.0,0.11
somap.csv,0.77,0.92,0.6,0.75,0.5,0.82,0.68,0.43,0.16,0.9,0.12,1.0,0.77,0.73,0.71
taverna.csv,0.27,0.38,0.43,0.55,1.0,0.06,0.64,0.32,0.12,0.55,0.23,0.56,0.67,0.21,0.22
tigermud.csv,0.75,0.86,0.6,0.77,0.5,0.66,0.65,0.42,0.17,0.83,0.18,0.87,0.93,0.97,0.78
x-ray-mule.csv,0.46,0.39,0.22,1.0,0.29,0.11,0.04,0.11,0.08,0.34,0.0,0.4,0.32,0.31,0.0
