,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.62,0.5,0.0,0.6,0.62,0.58,0.58,0.09,0.68,0.62,0.78,0.47,0.67,0.13,0.66,0.0
biodwh.csv,0.44,0.31,0.74,0.31,0.39,0.2,0.37,0.33,0.42,0.3,0.32,0.18,0.56,0.83,0.53,0.66
bloodycore.csv,0.05,0.38,0.3,0.63,0.37,0.16,0.16,0.14,0.09,0.53,0.44,0.51,0.32,0.1,0.27,0.43
blue-c.csv,0.66,0.57,0.09,0.49,0.55,0.78,0.46,0.5,0.59,0.54,0.75,0.74,0.67,0.5,0.68,0.09
etics.csv,0.39,0.28,0.89,0.33,0.39,0.2,0.31,0.42,0.32,0.39,0.33,0.1,0.45,0.63,0.46,0.61
flexpay.csv,0.07,0.59,0.27,0.5,0.61,0.32,0.54,0.48,0.41,0.53,0.29,0.53,0.31,0.49,0.33,0.65
flylegacy.csv,0.02,0.65,0.34,0.43,0.5,0.69,0.64,0.54,0.5,0.17,0.59,0.53,0.38,0.58,0.0,0.31
ftm.csv,0.59,0.31,0.43,0.35,0.53,0.53,0.09,0.19,0.31,0.41,0.31,0.73,0.29,0.1,0.67,0.49
gzigzag.csv,0.06,0.44,0.36,0.41,0.66,0.55,0.52,0.6,0.63,0.16,0.38,0.35,0.24,0.56,0.49,0.54
img-browse-sort.csv,0.46,0.64,0.43,0.62,0.62,0.45,0.45,0.5,0.6,0.3,0.62,0.72,0.61,0.63,0.55,0.75
jcache.csv,0.62,0.69,0.75,0.42,0.58,0.47,0.54,0.38,0.55,0.37,0.63,0.61,0.58,0.46,0.6,0.88
jguard.csv,0.27,0.55,0.27,0.58,0.6,0.45,0.68,0.48,0.51,0.4,0.52,0.61,0.52,0.36,0.37,0.54
ppcboot.csv,0.46,0.49,0.63,0.54,0.55,0.0,0.63,0.13,0.24,0.61,0.21,0.55,0.54,0.49,0.17,0.35
qdvdauthor.csv,0.47,0.28,0.2,0.51,0.58,0.57,0.41,0.5,0.49,0.42,0.68,0.43,0.76,0.2,0.57,0.2
reactos-mirror.csv,0.62,0.61,0.27,0.59,0.55,0.56,0.44,0.51,0.76,0.0,0.65,0.61,0.65,0.52,0.16,0.66
unbvision.csv,0.66,0.39,0.77,0.3,0.39,0.42,0.41,0.35,0.73,0.41,0.46,0.5,0.54,0.73,0.4,0.46
