,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.17,0.02,0.0,0.22,0.28,0.25,0.0,0.14,0.02,0.36,0.19,0.02,0.02,0.23,0.03,0.07,0.15,0.23,0.24,0.54
baadengine.csv,0.04,0.82,1.0,0.68,0.86,0.41,0.96,0.85,0.93,0.74,0.62,0.98,0.83,0.77,0.55,0.95,0.97,0.64,0.48,0.38
bibedt.csv,0.36,0.22,0.75,0.32,0.34,0.35,0.09,0.21,0.29,0.0,0.44,0.42,0.0,0.15,0.12,0.17,0.24,0.23,0.11,0.08
cascading.csv,0.24,0.66,0.5,0.34,0.48,0.24,0.03,0.52,0.46,0.26,0.33,0.46,0.49,0.38,0.48,0.73,0.0,0.38,0.04,0.08
dataobjectsdotnet.csv,0.21,0.37,1.0,0.23,0.41,0.11,0.31,0.31,0.12,0.45,0.21,0.23,0.32,0.15,0.27,0.31,0.18,0.01,0.35,0.31
exl.csv,0.6,0.82,1.0,0.64,0.45,0.67,0.63,0.74,0.8,0.36,0.58,0.52,0.46,0.58,0.51,0.78,0.55,0.62,0.2,0.0
gogoego.csv,0.2,0.06,0.25,0.18,0.41,0.33,0.31,0.0,0.18,0.17,0.15,0.17,0.17,0.46,0.04,0.13,0.09,0.48,0.57,0.23
httpcontentparser.csv,0.32,0.06,0.0,0.02,0.41,0.16,0.04,0.15,0.04,0.0,0.01,0.02,0.24,0.54,0.06,0.02,0.06,0.21,0.54,0.38
impala.csv,0.37,0.42,0.0,0.46,0.48,0.43,0.18,0.21,0.32,0.06,0.41,0.42,0.56,0.65,0.09,0.01,0.06,0.56,0.78,0.62
jaxlib.csv,0.03,0.06,0.25,0.07,0.07,0.05,0.03,0.06,0.03,0.02,0.14,0.0,0.0,0.04,0.0,0.03,0.03,0.02,0.07,0.08
jgameai.csv,0.06,0.22,0.0,0.27,0.17,0.02,0.99,0.18,0.13,0.55,0.43,0.12,0.29,0.35,0.04,0.05,0.09,0.18,0.72,0.85
jhotdraw.csv,0.34,0.17,0.25,0.2,0.59,0.25,0.35,0.2,0.0,0.04,0.38,0.12,0.46,0.5,0.19,0.14,0.12,0.54,0.67,0.62
loki-lib.csv,0.51,0.66,0.5,0.54,0.45,0.48,0.78,0.56,0.5,0.45,0.58,0.62,0.85,0.77,0.65,0.66,0.58,0.53,0.0,0.38
patterntesting.csv,0.33,0.74,0.75,0.38,0.45,0.4,0.22,0.44,0.39,0.02,0.5,0.58,0.34,0.35,0.34,0.43,0.24,0.37,0.09,0.08
pokeglobal.csv,0.55,0.29,0.5,0.4,0.03,0.59,0.72,0.5,0.68,0.19,0.2,0.92,0.46,0.31,0.5,0.52,0.42,0.51,0.07,0.31
snakeyaml.csv,0.06,0.31,0.0,0.7,0.52,0.71,0.51,0.43,0.39,0.0,0.26,0.6,0.05,0.31,0.01,0.17,0.39,0.54,0.85,0.38
unflobtactical.csv,0.4,0.49,1.0,0.54,0.59,0.3,0.19,0.34,0.35,0.53,0.51,0.38,0.32,0.04,0.3,0.47,0.39,0.29,0.41,0.38
werx.csv,0.99,1.0,0.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.99,0.98,1.0,1.0,1.0,1.0
zealos.csv,0.38,0.37,0.75,0.29,0.41,0.29,0.0,0.38,0.22,0.26,0.51,0.27,0.32,0.35,0.11,0.28,0.18,0.31,0.39,0.31
