,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.06,0.91,0.19,0.0,0.19,0.38,0.0,0.11,0.06,0.16,0.07,0.0,0.17,0.29,0.0,0.15,0.06,0.33,0.18,0.29
baadengine.csv,0.99,0.1,0.94,0.03,0.69,0.37,0.47,0.42,0.31,0.56,0.21,0.08,0.27,0.66,0.3,0.22,0.84,0.52,0.64,0.79
bibedt.csv,0.38,0.1,0.38,0.0,0.56,0.32,0.4,0.36,0.38,0.29,0.28,0.09,1.0,0.63,0.34,0.19,0.36,0.42,0.38,0.76
cascading.csv,0.33,0.04,0.83,0.06,0.62,0.29,0.27,0.43,0.34,0.55,0.3,0.08,0.33,0.5,0.26,0.18,0.99,0.48,0.28,0.76
dataobjectsdotnet.csv,0.51,0.07,0.52,0.0,0.57,0.31,0.33,0.37,0.21,0.62,0.33,0.27,0.36,0.53,0.31,0.12,0.43,0.99,0.45,0.59
exl.csv,0.69,0.07,0.86,0.03,0.73,0.44,0.53,0.41,0.32,0.43,0.24,0.14,0.34,0.48,0.31,0.21,0.75,0.55,0.51,0.99
gogoego.csv,0.49,0.2,0.15,0.0,0.37,0.35,0.6,0.98,0.28,0.45,0.23,0.18,0.21,0.6,0.45,0.0,0.4,0.48,0.36,0.27
httpcontentparser.csv,0.43,0.0,0.05,0.0,0.23,0.15,0.11,0.12,0.08,0.0,0.92,0.0,0.26,0.42,0.27,0.19,0.2,0.24,0.2,0.26
impala.csv,0.53,0.12,0.28,0.0,0.47,0.39,0.13,0.11,0.16,0.11,0.09,0.0,0.26,0.42,0.0,0.89,0.1,0.42,0.43,0.19
jaxlib.csv,0.16,0.0,0.01,0.0,0.24,0.13,0.27,0.19,0.0,0.28,0.31,1.0,0.0,0.4,0.0,0.0,0.08,0.13,0.27,0.71
jgameai.csv,0.23,0.19,0.11,0.0,0.26,0.98,0.47,0.26,0.1,0.28,0.08,0.22,0.17,0.17,0.26,0.0,0.14,0.43,0.47,0.68
jhotdraw.csv,0.52,0.0,0.08,0.0,0.49,0.17,0.04,0.18,0.98,0.06,0.11,0.0,0.13,0.43,0.15,0.04,0.23,0.47,0.33,0.25
loki-lib.csv,0.81,0.08,0.84,0.04,0.73,0.35,0.46,0.41,0.32,0.68,0.2,0.12,0.27,0.61,0.27,0.2,0.67,0.58,0.93,0.67
patterntesting.csv,0.73,0.04,0.53,0.05,0.65,0.3,0.62,0.38,0.36,0.95,0.24,0.06,0.34,0.58,0.29,0.11,0.65,0.5,0.39,0.82
pokeglobal.csv,0.5,0.08,0.89,0.05,0.99,0.3,0.45,0.38,0.32,0.53,0.07,0.08,0.24,0.35,0.32,0.17,0.69,0.52,0.32,0.2
snakeyaml.csv,0.18,0.21,0.52,0.03,0.58,0.49,0.4,0.32,0.39,0.12,0.09,0.12,0.0,0.63,0.96,0.07,0.45,0.51,0.44,0.76
unflobtactical.csv,0.49,0.05,0.38,0.0,0.51,0.33,0.63,0.39,0.3,0.55,0.23,0.1,0.23,0.99,0.29,0.1,0.57,0.55,0.4,0.72
werx.csv,0.84,0.13,1.0,0.02,0.73,0.45,0.47,0.39,0.31,0.54,0.19,0.08,0.33,0.73,0.23,0.22,0.86,0.6,0.56,0.83
zealos.csv,0.46,0.13,0.42,0.06,0.59,0.37,0.93,0.35,0.27,0.42,0.21,0.0,0.36,0.6,0.36,0.17,0.51,0.56,0.38,0.68
