,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.91,0.15,0.21,0.69,0.62,0.12,0.37,0.74,0.54,0.92
empserver.csv,0.81,0.18,0.13,0.74,0.71,0.11,0.25,0.72,0.52,1.0
enlightenment.csv,0.66,0.23,0.13,0.73,0.52,0.08,0.22,0.66,0.45,0.73
ffigo.csv,0.75,0.41,0.1,0.67,0.0,0.0,0.3,0.79,0.54,0.0
ildjit.csv,0.73,0.62,0.25,0.52,0.62,0.0,0.25,0.74,0.47,0.78
jfreereport.csv,0.88,0.09,0.26,0.72,0.6,0.14,0.43,0.89,0.67,1.0
mplayer-ce.csv,0.8,0.2,0.14,0.67,0.53,0.1,0.24,0.73,0.59,0.79
psycle.csv,0.81,0.16,0.15,0.65,0.62,0.1,0.23,0.74,0.48,0.87
wikipediardware.csv,0.78,0.25,0.13,0.62,0.52,0.09,0.23,0.61,0.45,0.93
wxjs.csv,0.81,0.0,0.08,0.5,1.0,0.3,0.0,0.0,0.0,1.0
