,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.97,0.49,0.73,0.26,0.7,0.79,0.56,0.81,1.01,0.67,0.45,0.77,0.57,0.97
elateportal.csv,0.92,0.55,0.61,0.43,0.72,0.84,0.67,0.68,0.76,0.88,0.89,0.8,0.9,0.02
gdis.csv,0.46,0.67,0.79,0.44,0.67,0.69,0.59,0.59,0.67,0.58,0.23,0.8,0.51,0.92
gzigzag.csv,0.91,0.54,0.59,0.73,0.66,0.58,0.85,0.62,0.62,0.62,0.72,0.67,0.43,0.53
icescrum.csv,0.37,0.43,0.61,0.67,0.68,0.57,0.86,0.94,0.75,0.55,0.5,0.8,0.38,0.97
jguard.csv,0.96,0.75,0.72,0.56,0.4,0.75,0.73,0.69,0.46,0.8,0.43,0.69,0.81,0.67
jitterbit.csv,0.83,0.39,0.51,0.34,0.65,0.45,0.68,0.82,0.59,0.55,0.42,0.97,0.87,0.82
jython.csv,0.23,0.75,0.71,0.35,0.73,0.76,0.75,0.76,0.79,0.6,0.89,0.82,0.8,0.97
personalaccess.csv,0.34,0.81,0.57,0.97,0.71,0.74,0.79,1.0,0.44,0.88,0.74,0.9,0.54,0.93
ppcboot.csv,0.23,0.95,0.77,1.0,0.9,1.0,0.49,0.9,0.55,0.85,0.93,1.0,0.68,1.01
repositorium.csv,0.87,0.84,0.9,1.01,0.84,0.85,0.93,0.35,0.98,1.01,0.72,0.73,0.9,0.95
unbvision.csv,0.98,0.5,0.65,0.7,0.63,0.36,0.83,0.66,0.6,0.66,0.7,0.83,0.57,0.86
wxstudio.csv,1.17,0.94,0.76,1.07,0.72,1.01,0.95,0.59,0.71,1.02,0.89,0.35,0.83,0.83
xbg.csv,0.6,0.85,0.85,0.9,0.81,0.72,0.6,0.91,0.93,0.3,0.88,0.91,0.84,0.95
