,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.69,0.51,0.6,0.87,1.06,0.5,0.47,0.57,0.4,0.77,0.64,0.56,0.53,0.34,0.63
autowikibrowser.csv,0.52,0.47,0.81,0.86,0.53,0.64,0.4,0.55,0.43,0.63,0.61,0.41,0.42,0.44,0.65
blue-c.csv,0.73,0.82,0.84,0.88,1.14,0.83,0.62,0.26,0.92,0.98,0.86,0.7,0.62,0.49,0.91
dynalloy.csv,0.83,0.74,0.29,1.01,1.12,0.78,0.49,0.63,0.88,0.9,0.93,0.68,0.64,0.58,0.75
hydrogen.csv,0.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,1.0,1.0,1.0,1.0,1.0,0.74
jcae.csv,0.92,0.58,0.84,0.19,0.97,0.65,0.68,0.43,0.5,0.55,0.55,0.64,0.54,0.42,0.67
lphant.csv,0.53,0.59,0.85,0.9,0.77,0.63,0.7,0.49,0.41,0.69,0.67,0.33,0.48,0.51,0.63
nosleepsoftware.csv,0.51,0.68,0.98,1.0,0.36,0.97,0.94,0.97,1.0,0.98,1.0,0.95,0.86,0.8,0.72
qgo.csv,0.75,0.22,0.81,0.85,0.71,0.52,0.51,0.53,0.43,0.62,0.7,0.91,0.8,0.68,0.66
quickfast.csv,0.75,0.68,0.72,0.81,0.48,0.6,0.78,0.81,0.49,0.62,0.61,0.83,0.85,0.61,0.41
rhex.csv,0.3,0.6,0.74,0.71,0.54,0.67,0.74,0.78,0.47,0.66,0.83,0.95,0.78,0.44,0.62
rocrail.csv,0.6,0.55,0.68,0.59,0.59,0.61,0.46,0.49,0.37,0.56,0.74,0.42,0.63,0.23,0.77
virtuoso.csv,0.89,0.83,0.99,0.97,1.0,0.91,0.96,1.0,0.91,0.58,0.84,0.94,0.9,0.96,0.72
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0
yield.csv,0.8,0.53,0.62,0.97,0.9,0.88,0.32,0.33,0.82,0.94,0.86,0.77,0.55,0.69,0.71
