,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.48,1.06,0.73,0.69,0.62,0.98,0.96,0.83,0.7,0.77,0.81,0.9,0.75
e-bio-flow.csv,0.86,0.72,0.49,0.75,0.53,0.79,0.62,0.41,1.0,0.73,0.71,0.79,0.88
jas.csv,0.81,0.53,1.01,0.6,0.96,0.61,0.51,0.76,0.61,0.91,0.75,0.57,0.28
jbpm.csv,0.88,0.91,1.0,0.25,1.0,0.83,1.0,0.75,1.0,0.92,1.0,0.97,1.01
jgossipforum.csv,0.77,0.51,0.85,0.88,0.7,0.6,0.8,0.69,0.07,0.64,0.64,0.53,1.0
jmonkeyengine.csv,0.87,0.55,0.88,0.61,1.01,0.71,0.5,0.79,0.85,0.93,0.79,0.64,0.97
joustsim.csv,0.8,0.67,0.66,0.53,0.82,0.65,0.53,0.73,0.26,0.18,0.82,0.58,0.49
log4net.csv,0.64,0.78,0.53,0.78,0.12,0.88,1.0,0.68,1.0,0.41,0.64,0.86,1.01
ngl.csv,0.83,0.61,0.87,0.8,0.89,0.94,0.6,0.74,0.76,0.43,0.89,0.5,0.63
piccolo2d.csv,0.75,0.54,0.41,0.6,0.36,0.92,0.73,0.58,1.0,0.71,0.88,0.7,1.0
pustefix.csv,0.98,0.62,0.75,0.6,0.9,0.4,0.6,0.76,0.67,1.0,0.85,0.61,1.01
reaper3d.csv,0.74,0.45,0.9,0.96,1.05,0.89,0.86,0.73,0.54,0.66,0.52,0.64,0.41
sblim.csv,0.88,0.32,0.62,0.64,1.08,0.76,0.72,0.87,0.8,0.51,0.9,0.88,0.68
