,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.44,0.16,0.24,0.23,0.07,0.43,0.41,0.43,0.06,0.22,0.1,0.2,0.14
e-bio-flow.csv,0.17,0.29,0.35,0.19,0.08,0.3,0.47,0.65,0.0,0.32,0.14,0.33,0.12
jas.csv,0.21,0.41,0.0,0.26,0.02,0.42,0.49,0.4,0.07,0.13,0.11,0.65,0.43
jbpm.csv,0.15,0.14,0.0,0.58,0.0,0.26,0.0,0.36,0.0,0.09,0.0,0.05,0.0
jgossipforum.csv,0.25,0.43,0.2,0.11,0.06,0.45,0.25,0.4,0.4,0.53,0.18,0.61,0.0
jmonkeyengine.csv,0.23,0.43,0.12,0.26,0.02,0.47,0.51,0.38,0.03,0.12,0.12,0.71,0.07
joustsim.csv,0.23,0.4,0.27,0.31,0.03,0.5,0.52,0.36,0.15,0.67,0.13,0.71,0.19
log4net.csv,0.33,0.29,0.33,0.18,0.27,0.17,0.0,0.42,0.0,0.43,0.24,0.26,0.0
ngl.csv,0.31,0.42,0.23,0.24,0.05,0.44,0.41,0.57,0.04,0.41,0.14,0.65,0.15
piccolo2d.csv,0.31,0.45,0.41,0.25,0.17,0.12,0.36,0.5,0.0,0.24,0.12,0.44,0.0
pustefix.csv,0.06,0.35,0.21,0.25,0.02,0.6,0.47,0.36,0.05,0.0,0.08,0.57,0.08
reaper3d.csv,0.3,0.47,0.1,0.11,0.0,0.25,0.19,0.45,0.07,0.32,0.2,0.5,0.32
sblim.csv,0.25,0.59,0.29,0.3,0.0,0.48,0.32,0.42,0.03,0.39,0.07,0.68,0.15
