,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.17,0.89,1.0,0.52,0.15,0.54,0.89,0.0,0.05,0.26,0.68,0.23,0.27
flylinkdc.csv,1.0,1.0,0.21,0.67,0.25,0.62,0.89,0.0,0.08,0.29,0.75,0.29,0.33
fw4spl.csv,0.21,0.84,0.12,1.0,0.98,0.39,0.47,0.04,0.04,0.23,0.75,0.12,0.24
grisbi.csv,0.3,0.83,0.37,0.56,0.13,0.54,0.98,0.12,0.07,0.36,0.51,0.26,0.37
mesa3d.csv,0.32,0.78,0.3,0.5,0.23,0.78,0.9,0.6,0.1,0.48,0.72,0.95,0.36
nuttx.csv,0.27,0.99,0.38,0.5,0.13,0.41,0.93,0.13,0.06,0.32,0.58,0.22,0.3
panda3d.csv,0.27,0.79,0.23,0.64,0.25,0.25,1.0,0.0,0.06,1.0,0.68,0.19,0.5
proftp.csv,0.5,0.83,0.28,0.7,0.21,1.0,0.91,0.1,0.07,0.36,0.68,0.27,0.42
qmmp.csv,0.37,0.77,0.46,0.55,0.18,0.64,0.97,0.16,0.05,0.31,0.98,0.31,0.29
skia.csv,0.29,0.76,0.5,0.73,0.37,0.5,0.75,0.09,0.12,0.5,0.64,0.29,1.0
tart.csv,0.0,0.0,1.0,0.5,0.21,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0
tcvp.csv,0.29,0.88,0.37,0.71,0.22,0.6,0.89,0.89,0.0,0.56,0.33,0.21,0.35
utgb.csv,0.45,0.81,0.31,1.0,0.17,1.0,1.0,0.0,0.05,0.18,0.52,0.36,0.54
