,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.2,0.66,0.98,0.59,0.23,0.48,0.38,0.0,0.08,0.17,0.35,0.36,0.21
flylinkdc.csv,0.99,0.02,0.11,0.11,0.1,0.37,0.21,0.0,0.14,0.24,0.41,0.28,0.26
fw4spl.csv,0.14,0.2,0.13,0.16,0.89,0.29,0.19,0.06,0.07,0.26,0.09,0.15,0.2
grisbi.csv,0.45,0.67,0.5,0.7,0.23,0.7,0.98,0.21,0.12,0.48,0.64,0.39,0.51
mesa3d.csv,0.33,0.49,0.22,0.39,0.22,0.36,0.24,0.43,0.13,0.29,0.32,0.88,0.27
nuttx.csv,0.39,0.99,0.52,0.6,0.22,0.44,0.76,0.21,0.1,0.24,0.44,0.29,0.3
panda3d.csv,0.12,0.4,0.11,0.3,0.28,0.06,0.26,0.0,0.11,0.96,0.45,0.2,0.38
proftp.csv,0.54,0.33,0.24,0.55,0.31,0.98,0.45,0.14,0.12,0.33,0.47,0.27,0.5
qmmp.csv,0.47,0.53,0.51,0.5,0.29,0.58,0.6,0.21,0.09,0.34,0.97,0.38,0.3
skia.csv,0.16,0.28,0.22,0.56,0.37,0.12,0.09,0.1,0.15,0.2,0.33,0.13,0.98
tart.csv,0.0,0.0,0.13,0.1,0.1,0.12,0.14,0.0,1.0,0.04,0.0,0.0,0.0
tcvp.csv,0.23,0.14,0.31,0.46,0.22,0.17,0.21,0.89,0.0,0.3,0.17,0.12,0.3
utgb.csv,0.34,0.62,0.27,0.99,0.2,0.06,0.09,0.0,0.08,0.09,0.31,0.35,0.39
