,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.44,0.31,0.0,0.71,0.43,0.3,0.14,0.12,0.2,0.16,0.11,0.74,0.24
flylinkdc.csv,0.0,0.0,0.11,0.03,0.03,0.14,0.07,0.05,0.4,0.22,0.1,0.18,0.22
fw4spl.csv,0.15,0.1,0.46,0.0,0.0,0.3,0.64,0.31,0.25,0.44,0.02,0.41,0.28
grisbi.csv,0.74,0.56,0.53,0.84,0.95,0.7,0.07,0.81,0.8,0.59,0.82,0.63,0.7
mesa3d.csv,0.28,0.46,0.16,0.35,0.1,0.05,0.07,0.03,0.1,0.1,0.08,0.01,0.2
nuttx.csv,0.71,0.03,0.55,0.84,0.87,0.54,0.21,0.46,0.57,0.18,0.26,0.43,0.35
panda3d.csv,0.08,0.33,0.1,0.13,0.15,0.08,0.0,0.03,0.35,0.0,0.16,0.26,0.15
proftp.csv,0.22,0.21,0.23,0.23,0.33,0.0,0.14,0.24,0.3,0.25,0.18,0.19,0.41
qmmp.csv,0.41,0.56,0.28,0.42,0.56,0.24,0.07,0.22,0.64,0.38,0.02,0.29,0.37
skia.csv,0.1,0.26,0.06,0.19,0.1,0.05,0.07,0.14,0.08,0.06,0.13,0.06,0.0
tart.csv,0.01,0.0,0.0,0.06,0.03,0.05,0.0,0.03,0.0,0.01,0.0,0.0,0.0
tcvp.csv,0.17,0.05,0.19,0.16,0.12,0.05,0.07,0.01,0.11,0.07,0.23,0.09,0.24
utgb.csv,0.12,0.56,0.22,0.0,0.19,0.0,0.0,0.01,0.22,0.13,0.21,0.17,0.13
