,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.43,0.67,0.4,0.0,0.45
mediaportal.csv,0.5,0.48,0.89,0.54,0.62
poormans.csv,0.45,0.95,0.83,0.37,0.43
smartgwt.csv,0.64,0.35,0.38,0.43,0.45
sqlpower-library.csv,0.42,0.87,0.35,0.38,0.49
