,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.02,0.15,0.1,0.07,0.06,0.92,0.27,0.1,0.0,0.17,0.05,0.19,0.34
badtrinity-zero.csv,0.14,0.24,0.97,0.31,0.51,0.83,0.27,0.33,0.33,0.62,0.91,0.0,0.61
bibletime.csv,0.47,0.76,0.82,0.79,0.81,0.92,0.73,0.81,0.83,1.0,0.23,0.72,0.87
critterding.csv,0.2,0.91,0.33,0.4,0.15,0.33,0.45,0.34,0.33,0.45,0.8,0.25,0.54
elateportal.csv,0.63,0.56,0.78,0.95,0.7,0.83,0.82,0.45,0.33,0.77,1.0,0.91,0.61
fmri-dmt.csv,0.07,0.0,0.06,0.07,0.04,0.08,0.18,0.0,0.83,0.05,0.0,0.02,0.05
ftm.csv,0.38,0.41,0.3,0.48,0.53,0.5,0.45,0.49,0.17,0.42,0.05,0.28,0.93
gusanos.csv,0.37,0.68,0.73,0.88,0.55,0.67,0.55,0.97,0.67,0.71,0.43,0.55,0.61
monetdb.csv,0.62,0.47,0.56,0.52,0.96,0.58,0.55,0.54,0.17,0.39,0.86,0.21,0.75
quarkplayer.csv,0.01,0.0,0.0,0.0,0.02,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0
reactos-mirror.csv,0.97,0.91,0.78,0.57,0.74,0.83,1.0,0.81,0.67,0.82,0.82,0.96,0.87
sandiaportals.csv,0.51,0.71,0.52,0.9,0.55,0.75,0.73,0.79,0.5,0.86,0.11,1.0,0.77
xbplayer.csv,0.28,0.18,0.32,0.95,0.19,0.25,0.36,0.43,0.33,0.21,0.02,0.09,0.38
