,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.95,0.89,0.92,0.96,0.67,0.91,0.88,0.86,0.5,0.93,0.5,0.9,0.76
badtrinity-zero.csv,0.93,0.62,0.55,0.74,0.52,0.44,0.53,0.59,0.45,0.39,0.32,0.0,0.51
bibletime.csv,0.56,0.43,0.47,0.4,0.49,0.47,0.4,0.41,0.35,0.39,0.71,0.45,0.45
critterding.csv,0.94,0.66,0.8,0.6,0.95,0.8,0.97,0.71,0.59,0.59,0.37,0.79,0.67
elateportal.csv,0.49,0.58,0.42,0.42,0.41,0.4,0.39,0.6,0.52,0.4,0.3,0.4,0.43
fmri-dmt.csv,0.98,0.0,0.86,0.67,0.83,0.0,0.89,0.0,0.83,0.67,0.0,0.5,0.75
ftm.csv,0.67,0.56,0.84,0.61,0.48,0.68,0.76,0.52,0.75,0.58,0.67,0.81,0.57
gusanos.csv,0.59,0.47,0.37,0.38,0.37,0.41,0.45,0.39,0.34,0.37,0.43,0.38,0.37
monetdb.csv,0.52,0.73,0.56,0.7,0.59,0.61,0.56,0.65,0.76,0.75,0.33,0.76,0.51
quarkplayer.csv,0.93,0.0,0.0,0.0,0.75,0.0,0.91,0.67,0.0,0.0,0.0,0.0,0.0
reactos-mirror.csv,0.63,0.51,0.47,0.63,0.39,0.52,0.46,0.42,0.34,0.39,0.36,0.42,0.45
sandiaportals.csv,0.62,0.48,0.6,0.46,0.49,0.57,0.56,0.43,0.48,0.4,0.86,0.43,0.47
xbplayer.csv,0.78,0.9,0.66,0.62,0.94,0.95,0.7,0.53,0.61,0.82,0.0,0.83,0.63
