,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.03,0.1,0.05,0.23,0.0,0.0,0.36,0.0,0.03,0.21,0.0,0.0,0.28
badtrinity-zero.csv,0.13,0.2,0.0,0.15,0.34,0.5,0.35,0.17,0.44,0.21,0.17,0.0,0.48
bibletime.csv,0.33,0.68,0.65,0.53,0.64,0.73,0.54,0.66,0.79,0.0,0.67,0.22,0.87
critterding.csv,0.14,0.02,0.4,0.27,0.13,0.28,0.21,0.28,0.4,0.14,0.5,0.06,0.42
elateportal.csv,0.63,0.46,0.54,0.85,0.51,0.77,0.8,0.45,0.37,0.5,0.0,0.83,0.49
fmri-dmt.csv,0.05,0.0,0.02,0.0,0.04,0.0,0.04,0.0,0.02,0.0,0.0,0.06,0.01
ftm.csv,0.35,0.44,0.1,0.51,0.37,0.22,0.34,0.45,0.31,0.21,0.17,0.06,0.01
gusanos.csv,0.28,0.54,0.49,0.6,0.51,0.52,0.57,0.03,0.6,0.36,0.33,0.28,0.46
monetdb.csv,0.59,0.34,0.29,0.53,0.01,0.5,0.59,0.52,0.26,0.43,0.17,0.33,0.59
quarkplayer.csv,0.02,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactos-mirror.csv,0.01,0.73,0.73,0.45,0.64,0.61,0.83,0.76,0.89,0.71,1.0,0.89,0.93
sandiaportals.csv,0.46,0.73,0.44,0.73,0.52,0.48,0.55,0.55,0.42,0.36,0.33,0.0,0.7
xbplayer.csv,0.19,0.1,0.12,0.0,0.08,0.11,0.21,0.1,0.26,0.21,0.0,0.06,0.1
