,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.85,0.75,0.84,0.09,0.93,1.0,0.76,0.8,0.93,0.94
arsenal-1.csv,0.94,0.92,0.05,0.5,0.7,0.82,0.77,0.61,0.64,0.68
barracudamvc.csv,0.01,0.77,0.62,0.94,0.89,0.92,0.98,0.97,1.0,0.64
irplus.csv,0.62,0.78,0.71,0.66,0.8,0.04,0.59,0.75,0.72,0.86
lite.csv,0.88,0.71,0.89,0.59,0.81,0.77,0.0,0.77,0.9,0.89
mevenide.csv,0.85,0.78,0.61,0.63,0.82,0.61,0.53,0.07,0.84,0.73
ontopia.csv,0.72,0.57,0.91,0.9,0.0,0.65,0.91,0.85,0.95,0.78
openintents.csv,0.85,0.13,0.54,0.53,0.85,0.56,0.49,0.82,0.8,0.77
ta3d.csv,0.91,0.76,0.81,0.78,0.63,0.67,0.83,0.81,0.63,0.0
tweetsharp.csv,0.57,0.62,0.81,0.64,0.78,0.56,0.7,0.78,0.02,0.86
