,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.0,0.12,0.19,0.0,0.21,0.05,0.2,0.06,0.0,0.06
arsenal-1.csv,0.9,0.73,0.03,0.29,0.36,0.18,0.49,0.55,0.4,0.31
barracudamvc.csv,0.0,0.73,0.55,0.94,0.86,0.89,0.98,0.97,1.0,0.5
irplus.csv,0.4,0.36,0.26,0.48,0.14,0.0,0.44,0.67,0.07,0.0
lite.csv,0.15,0.12,0.06,0.06,0.21,0.14,0.0,0.1,0.0,0.0
mevenide.csv,0.3,0.42,0.26,0.48,0.14,0.32,0.24,0.0,0.07,0.62
ontopia.csv,0.35,0.48,0.74,0.77,0.0,0.59,0.27,0.67,0.93,0.75
openintents.csv,0.5,0.0,0.45,0.39,0.5,0.45,0.37,0.31,0.13,0.19
ta3d.csv,0.9,0.76,0.81,0.77,0.57,0.64,0.8,0.77,0.47,0.0
tweetsharp.csv,0.35,0.52,0.52,0.61,0.36,0.39,0.68,0.7,0.0,0.75
