,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.26,0.36,0.26,0.95,0.16,0.0,0.3,0.3,0.13,0.11
arsenal-1.csv,0.76,0.35,0.96,0.59,0.54,0.26,0.29,0.43,0.61,0.52
barracudamvc.csv,1.0,0.53,0.6,0.58,0.79,0.46,0.43,0.38,0.85,0.66
irplus.csv,0.65,0.33,0.41,0.49,0.34,0.98,0.43,0.36,0.44,0.25
lite.csv,0.23,0.41,0.19,0.55,0.35,0.32,1.0,0.31,0.17,0.21
mevenide.csv,0.32,0.36,0.51,0.52,0.32,0.47,0.48,0.96,0.28,0.66
ontopia.csv,0.52,0.58,0.41,0.41,1.0,0.52,0.14,0.27,0.77,0.73
openintents.csv,0.45,0.93,0.63,0.58,0.45,0.55,0.5,0.22,0.34,0.38
ta3d.csv,0.85,0.63,0.65,0.63,0.79,0.55,0.4,0.37,0.66,1.0
tweetsharp.csv,0.68,0.55,0.38,0.61,0.44,0.53,0.46,0.35,0.99,0.6
