,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.04,0.91,0.09,0.1,0.0,0.1,0.76,0.32,0.36,1.0,0.23,0.08,0.84,0.62
continuum-ide.csv,0.0,1.0,0.0,0.0,0.0,0.14,0.88,1.0,0.0,0.25,0.5,0.0,0.94,0.5
free-evolution.csv,0.08,0.72,0.11,0.22,0.0,0.11,0.47,0.23,0.57,0.4,1.0,0.08,1.0,0.5
gtad.csv,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
jaxen.csv,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0
jruby.csv,0.02,0.88,0.07,0.03,0.0,0.15,0.82,0.31,0.0,0.43,0.23,0.1,1.0,0.6
jsr308-langtools.csv,0.05,1.0,0.11,0.05,0.0,0.1,1.0,0.34,0.4,0.48,0.27,0.07,0.82,0.69
kaffeine.csv,0.03,1.0,0.08,0.1,0.02,0.07,0.66,0.3,0.4,0.3,0.23,0.11,0.87,0.6
oorexx.csv,0.04,1.0,0.07,0.16,0.02,0.04,0.69,0.31,0.33,0.32,0.28,0.1,0.86,1.0
qedo.csv,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.17,1.0,0.0,0.88
sarasvati.csv,0.06,0.67,1.0,0.17,0.07,0.17,0.67,0.18,0.28,0.0,0.18,0.0,0.91,0.69
taokgame.csv,0.0,0.0,0.0,1.0,0.02,0.04,0.0,0.5,1.0,0.25,0.0,0.0,0.0,0.0
zabbix.csv,0.04,0.87,0.08,0.09,0.02,0.05,0.64,0.32,1.0,0.37,0.26,0.08,0.86,0.61
