,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.52,0.46,0.56,0.53,0.0,0.44,0.71,0.57,0.4,1.0,0.34,0.49,0.45,0.51
continuum-ide.csv,0.0,0.02,0.0,0.0,0.0,0.24,0.27,1.0,0.0,0.06,0.04,0.0,0.16,0.04
free-evolution.csv,0.54,0.27,0.4,0.76,0.0,0.62,0.26,0.21,0.55,0.31,0.95,0.39,0.13,0.38
gtad.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.0
jaxen.csv,0.0,0.02,0.11,0.0,1.0,1.0,0.04,0.15,0.0,0.06,0.0,0.0,0.01,0.0
jruby.csv,0.47,0.69,0.47,0.12,0.0,0.45,0.63,0.41,0.0,0.57,0.52,0.55,1.0,0.55
jsr308-langtools.csv,0.82,0.62,0.57,0.23,0.0,0.61,1.0,0.62,0.51,0.58,0.5,0.43,0.39,0.53
kaffeine.csv,0.38,0.98,0.62,0.09,0.69,0.61,0.62,0.0,0.0,0.0,0.05,0.64,0.0,0.3
oorexx.csv,0.76,0.66,0.58,0.67,0.68,0.23,0.64,0.55,0.39,0.54,0.65,0.6,0.36,0.95
qedo.csv,0.0,0.05,0.11,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.04,0.96,0.0,0.23
sarasvati.csv,0.54,0.24,0.85,0.12,0.95,0.24,0.54,0.14,0.2,0.0,0.3,0.0,0.19,0.35
taokgame.csv,0.0,0.0,0.0,0.92,0.38,0.23,0.0,0.07,0.04,0.27,0.0,0.0,0.0,0.0
zabbix.csv,0.6,0.7,0.61,0.48,0.27,0.43,0.59,0.5,1.0,0.61,0.46,0.48,0.53,0.4
