,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.69,0.72,0.39,0.49,0.0
bdbbasic.csv,0.44,0.59,0.28,0.67,0.02
empyrean.csv,0.76,0.0,0.0,0.0,0.0
gnome-jabber.csv,0.57,0.53,0.39,0.48,0.76
nutz.csv,0.54,0.41,0.62,0.29,0.93
