,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.34,0.36,0.0,0.29,0.09,0.2,0.08,0.43,0.92,0.23,0.19,0.19,0.67,0.17,0.49,0.06
customsagetv.csv,0.23,0.24,0.24,0.0,0.14,0.11,0.08,0.0,0.42,0.27,0.09,0.38,0.17,0.09,0.28,0.99
fluidium.csv,0.23,0.38,0.0,0.33,0.28,0.32,0.32,0.39,0.07,0.21,0.26,0.38,0.31,0.98,0.21,0.64
guineu.csv,1.0,0.38,0.75,0.29,0.25,0.16,0.15,0.31,0.24,0.29,0.59,0.39,0.36,0.58,0.47,0.64
inkscape.csv,0.24,0.35,0.09,0.1,0.2,0.08,0.95,0.34,0.1,0.47,0.24,0.51,0.41,0.34,0.31,0.03
mpqc.csv,0.3,0.27,0.15,0.09,0.05,0.86,0.18,0.55,0.14,0.24,0.76,0.28,0.35,0.58,0.22,0.69
nsis.csv,0.45,0.53,0.86,0.19,0.28,0.28,0.73,0.52,0.38,0.41,1.0,0.8,0.61,0.61,0.73,0.72
octave.csv,0.51,0.53,0.78,0.38,0.98,0.09,0.62,0.52,0.2,0.27,0.37,0.64,0.49,0.28,0.57,0.5
owfs.csv,0.52,0.37,0.44,0.96,0.32,0.0,0.26,0.5,0.48,0.19,0.02,0.23,0.55,0.0,0.62,0.42
owlib.csv,0.46,0.98,0.8,0.36,0.23,0.14,0.58,0.59,0.3,0.38,0.82,0.61,0.65,0.52,0.73,0.71
pamguard.csv,0.24,0.33,0.0,0.0,0.07,0.15,0.26,0.36,0.39,0.3,0.45,0.42,0.54,0.43,1.0,0.43
prelude.csv,0.47,0.55,0.99,0.25,0.31,0.29,0.75,0.65,0.39,0.38,0.76,0.82,0.57,0.46,0.75,0.73
robocode.csv,0.49,0.46,0.35,0.29,0.38,0.19,0.64,1.0,0.5,0.43,0.44,0.48,0.71,0.49,0.64,0.6
uwom-server.csv,0.37,0.17,0.0,0.17,0.0,0.0,0.29,0.46,0.29,0.96,0.15,0.1,0.34,0.27,0.39,0.57
zengine.csv,0.46,0.53,0.88,0.3,0.37,0.32,0.64,0.58,0.33,0.41,0.77,0.99,0.67,0.55,0.77,0.56
zildo.csv,0.4,0.48,0.72,0.37,0.22,0.19,0.59,0.45,0.56,0.44,0.55,0.58,0.98,0.3,0.7,0.58
