,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.67,0.0,0.97,0.0,0.0,0.83,0.67,0.5,0.86,0.95,0.0,0.83
columba.csv,0.39,0.33,0.37,0.57,0.39,0.5,0.35,0.39,0.75,0.45,0.49,0.51,0.38,0.33
encog-cs.csv,0.34,0.34,0.34,0.47,0.5,0.49,0.32,0.42,0.39,0.45,0.39,0.38,0.42,0.4
fido.csv,0.8,0.0,0.0,0.0,0.88,0.0,0.94,0.88,0.0,0.92,0.94,0.75,0.43,0.0
flexpay.csv,0.81,0.59,0.47,0.48,0.69,0.91,0.64,0.81,0.7,0.87,0.43,0.79,0.56,0.73
fluent-nhibernate.csv,0.43,0.73,0.86,0.82,0.55,0.64,0.74,0.97,0.88,0.62,0.76,0.75,0.58,0.67
geochat.csv,0.93,0.0,0.88,0.91,0.53,0.59,0.53,0.7,0.88,0.59,0.49,0.64,0.96,0.6
gpsmid.csv,0.38,0.42,0.39,0.38,0.48,0.62,0.45,0.51,0.63,0.66,0.47,0.37,0.42,0.41
k3d.csv,0.86,0.67,0.69,0.95,0.98,0.92,0.9,0.96,0.91,0.92,0.95,0.92,0.7,0.75
m-a-d-n-e-s-s.csv,0.92,0.0,0.93,0.88,0.82,0.57,0.94,0.59,0.83,0.48,0.76,0.91,0.83,0.5
mob-sen-plat.csv,0.33,0.34,0.36,0.36,0.37,0.36,0.31,0.35,0.41,0.36,0.37,0.37,0.38,0.35
ninject.csv,0.53,0.79,0.46,0.89,0.54,0.41,0.56,0.43,0.6,0.42,0.76,0.52,0.58,0.57
uface.csv,0.32,0.36,0.36,0.36,0.37,0.4,0.32,0.4,0.4,0.44,0.42,0.37,0.36,0.37
v8.csv,0.5,0.88,0.56,0.44,0.6,0.48,0.54,0.49,0.46,0.67,0.5,0.83,0.54,0.93
