,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.02,0.0,0.0,0.0,0.09,0.0,0.0,0.04,0.0,0.0,0.04,0.16,0.0,1.0
columba.csv,0.67,0.71,0.67,0.51,0.58,0.6,0.73,0.46,0.45,0.69,0.65,0.46,0.76,0.73
encog-cs.csv,0.0,0.0,0.05,0.65,0.48,0.54,0.13,0.0,0.09,0.05,0.13,0.17,0.0,0.36
fido.csv,0.12,0.0,0.0,0.0,0.07,0.0,0.97,0.05,0.0,0.28,0.17,0.0,0.67,0.0
flexpay.csv,0.31,0.45,0.46,0.51,0.48,0.14,0.52,0.27,0.43,0.4,0.66,0.37,0.59,0.45
fluent-nhibernate.csv,0.7,0.28,0.48,0.37,0.51,0.4,0.29,0.18,0.24,0.91,0.43,0.2,0.46,0.0
geochat.csv,0.19,0.0,0.37,0.07,0.46,0.36,0.28,0.35,0.45,0.45,0.54,0.51,0.23,0.78
gpsmid.csv,0.78,0.43,0.34,0.34,0.58,0.48,0.5,0.63,0.62,0.68,0.62,0.05,0.75,0.8
k3d.csv,0.15,0.07,0.86,0.11,0.11,0.28,0.0,0.15,0.0,0.07,0.15,0.24,0.36,0.0
m-a-d-n-e-s-s.csv,0.28,0.04,0.2,0.3,0.34,0.74,0.0,0.33,0.24,0.66,0.4,0.24,0.21,0.23
mob-sen-plat.csv,0.59,0.84,0.64,0.29,0.55,0.62,0.3,0.55,0.58,0.75,0.61,0.59,0.69,0.36
ninject.csv,0.53,0.31,0.63,0.27,0.41,0.53,0.53,0.6,0.96,0.62,0.32,0.45,0.5,0.23
uface.csv,0.65,0.63,0.44,0.71,0.48,0.21,0.54,0.29,0.69,0.52,0.68,0.09,0.94,0.24
v8.csv,0.49,0.14,0.52,0.49,0.46,0.5,0.5,0.83,0.38,0.54,0.54,0.37,0.51,0.0
