,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.23,0.21,0.14,0.13,0.61,0.38,0.35,0.2,0.0,0.37,0.26,0.92,0.32,0.24,0.07,0.55,0.0,0.32,0.44,0.35
array4j.csv,0.31,0.31,0.84,0.06,0.29,0.4,0.46,0.2,0.0,0.0,0.17,0.27,0.2,0.0,0.05,0.3,0.2,0.02,0.42,0.19
bzbyte.csv,0.5,0.65,0.5,0.34,0.59,0.61,0.49,0.58,0.09,0.43,0.44,0.45,0.0,0.05,0.55,0.12,0.24,1.0,0.47,0.44
capcode.csv,0.37,0.12,0.22,0.13,1.0,0.47,0.53,0.3,0.36,0.67,0.18,0.51,0.4,0.43,0.41,0.16,0.2,0.37,0.37,0.3
fm-classic.csv,0.0,0.02,0.0,0.06,0.1,0.01,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0
freenet.csv,0.52,0.51,0.29,0.71,0.55,0.98,0.58,0.66,0.42,0.41,0.56,0.5,0.66,0.6,0.0,0.07,0.45,0.48,0.52,0.54
hannosset.csv,0.09,0.19,0.07,0.13,0.1,0.01,0.0,0.05,0.0,0.38,0.1,0.0,0.07,0.0,0.02,0.0,1.0,0.05,0.11,0.06
haphazard.csv,0.28,0.07,0.23,0.06,0.1,0.33,0.27,0.15,0.45,0.0,0.88,0.0,0.46,0.45,0.17,0.37,0.0,0.25,0.14,0.37
intact.csv,0.44,0.6,0.49,0.36,0.62,0.49,0.92,0.16,0.0,0.85,0.46,0.63,0.26,0.0,0.18,0.0,0.2,0.22,0.58,0.37
ipfire-wall.csv,0.5,0.58,0.23,0.41,0.62,0.27,0.04,0.16,0.29,0.47,0.57,0.43,0.95,0.44,0.21,0.33,0.38,0.21,0.18,0.45
jlinalg.csv,0.55,0.97,0.24,0.39,0.5,0.59,0.28,0.4,0.48,0.78,0.28,0.48,0.56,0.33,0.0,0.54,0.43,0.68,0.41,0.48
nassp.csv,0.28,0.22,0.23,0.3,0.37,0.31,0.23,0.26,0.93,0.96,0.1,0.23,0.07,0.24,0.06,0.16,0.0,0.21,0.25,0.25
ondex.csv,0.56,0.41,0.43,0.45,0.26,0.52,0.57,0.49,0.0,0.65,0.41,0.33,0.13,0.24,0.15,0.47,0.0,0.14,0.93,0.51
optalgtoolkit.csv,0.47,0.22,0.45,0.96,0.43,0.52,0.5,0.43,0.53,0.37,0.41,0.33,0.64,0.63,0.54,0.53,0.34,0.52,0.52,0.54
pustefix.csv,0.2,0.37,0.4,0.19,0.57,0.3,0.23,0.93,0.1,0.65,0.39,0.27,0.0,0.0,0.09,0.66,0.38,0.48,0.51,0.4
soar.csv,0.39,0.38,0.44,0.13,0.72,0.52,0.34,0.38,0.51,0.47,0.64,0.58,0.19,0.3,0.0,1.0,0.54,0.49,0.46,0.24
sqlpower-library.csv,0.98,0.61,0.43,0.72,0.68,0.58,0.62,0.5,0.2,0.64,0.53,0.59,0.41,0.44,0.52,0.59,0.37,0.57,0.39,0.59
super-tux.csv,0.69,0.61,0.38,0.0,0.42,0.45,0.35,0.0,0.0,0.05,0.52,0.62,0.0,0.09,0.99,0.16,0.0,0.61,0.05,0.41
tart.csv,0.0,0.07,0.0,0.0,0.0,0.05,0.12,0.11,0.0,0.0,0.0,0.0,0.13,0.83,0.07,0.27,0.0,0.13,0.07,0.06
web-cat.csv,0.32,0.24,0.14,0.25,0.2,0.27,0.31,0.2,0.53,0.0,0.35,0.17,0.25,0.6,0.29,0.45,0.2,0.24,0.37,1.0
