,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.2,0.18,0.12,0.11,0.67,0.35,0.3,0.17,0.0,0.33,0.23,0.9,0.28,0.2,0.06,0.58,0.0,0.28,0.42,0.32
array4j.csv,0.28,0.26,0.81,0.05,0.25,0.37,0.43,0.17,0.0,0.0,0.15,0.24,0.17,0.0,0.04,0.26,0.17,0.02,0.42,0.16
bzbyte.csv,0.48,0.62,0.69,0.89,0.67,0.72,0.5,0.57,0.75,1.0,0.85,0.67,0.94,1.0,0.96,0.1,1.0,1.0,0.45,0.79
capcode.csv,0.33,0.1,0.19,0.11,1.0,0.5,0.53,0.26,0.33,0.67,0.15,0.57,0.56,0.4,0.41,0.13,0.17,0.33,0.33,0.26
fm-classic.csv,0.0,0.02,0.0,0.05,0.08,0.01,0.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0
freenet.csv,0.54,0.46,0.25,0.89,0.58,0.98,0.77,0.78,0.92,0.67,0.62,0.52,0.94,0.8,0.9,0.06,0.5,0.46,0.73,0.74
hannosset.csv,0.07,0.16,0.06,0.11,0.08,0.01,0.0,0.04,0.0,0.33,0.08,0.0,0.06,0.0,0.02,0.0,1.0,0.04,0.09,0.05
haphazard.csv,0.24,0.06,0.19,0.05,0.08,0.29,0.23,0.13,0.42,0.0,0.85,0.0,0.44,0.4,0.14,0.32,0.0,0.21,0.12,0.32
intact.csv,0.39,0.66,0.5,0.32,0.75,0.48,0.9,0.13,0.0,1.0,0.46,0.67,0.22,0.0,0.15,0.94,0.17,0.63,0.58,0.32
ipfire-wall.csv,0.46,0.54,0.19,0.68,0.75,0.23,0.03,0.13,0.25,0.67,0.62,0.38,0.94,0.4,0.18,0.32,0.33,0.18,0.15,0.42
jlinalg.csv,0.8,0.98,0.94,0.79,0.92,0.82,0.73,0.83,0.67,1.0,0.77,0.76,0.83,0.8,0.98,0.65,1.0,0.79,0.73,0.95
nassp.csv,0.24,0.18,0.19,0.26,0.33,0.27,0.2,0.22,0.92,1.0,0.08,0.19,0.06,0.2,0.05,0.13,0.0,0.18,0.21,0.21
ondex.csv,0.74,0.54,0.38,0.42,0.25,0.61,0.57,0.52,0.0,0.67,0.38,0.29,0.11,0.2,0.12,0.61,0.0,0.12,0.91,0.63
optalgtoolkit.csv,0.46,0.18,0.56,0.95,0.42,0.62,0.5,0.43,0.92,0.33,0.38,0.29,0.78,0.8,0.53,0.58,0.33,0.51,0.55,0.53
pustefix.csv,0.17,0.62,0.38,0.16,0.58,0.27,0.2,0.91,0.08,0.67,0.38,0.24,0.0,0.0,0.07,0.84,0.33,0.49,0.48,0.37
soar.csv,0.89,0.68,0.94,0.89,0.92,0.67,0.83,0.96,0.67,1.0,0.77,0.81,0.67,1.0,0.79,1.0,1.0,0.93,0.82,1.0
sqlpower-library.csv,0.98,0.58,0.56,0.79,0.75,0.72,0.67,0.57,0.17,0.67,0.69,0.67,0.39,0.4,0.48,0.81,0.33,0.7,0.36,0.63
super-tux.csv,0.91,0.58,1.0,1.0,0.83,0.91,0.8,1.0,1.0,1.0,0.92,0.9,1.0,1.0,0.99,0.13,1.0,0.77,0.94,0.89
tart.csv,0.0,0.06,0.0,0.0,0.0,0.04,0.1,0.09,0.0,0.0,0.0,0.0,0.11,0.8,0.06,0.23,0.0,0.11,0.06,0.05
web-cat.csv,0.28,0.2,0.12,0.21,0.17,0.23,0.27,0.17,0.5,0.0,0.31,0.14,0.22,0.6,0.26,0.58,0.17,0.21,0.33,1.0
