,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.81,0.64,0.94,0.91,0.72,0.81,0.88,0.9,0.24,1.01,0.72,0.04,0.7,0.68,0.77,0.81,0.82,0.69,0.76
all-plasm.csv,0.68,0.9,0.79,0.8,0.91,0.7,0.85,0.48,1.01,0.73,0.1,0.75,0.7,0.84,0.94,0.72,1.21,0.86,0.78
awemud.csv,0.0,0.75,0.7,0.53,0.68,0.74,0.64,0.61,0.36,0.84,0.91,0.65,0.83,0.78,0.58,0.74,0.58,0.56,0.57
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.0,1.0,1.0
bullet.csv,0.99,0.89,0.86,0.71,0.73,0.05,0.73,0.59,0.87,0.95,1.0,0.8,0.76,0.74,0.77,0.87,0.55,0.83,0.79
dvd-create.csv,0.67,0.63,0.79,0.65,0.0,0.67,0.7,0.74,0.76,0.78,0.89,0.82,0.86,0.7,0.52,0.82,0.48,0.62,0.76
gbif-indexingtoolkit.csv,0.84,0.96,0.82,0.8,0.82,0.88,0.92,0.18,0.86,0.79,0.62,0.74,0.77,0.95,0.62,0.74,0.9,0.62,1.0
go.csv,0.65,0.01,0.71,0.97,0.58,0.61,0.73,0.64,0.68,0.62,0.54,0.7,0.72,0.61,0.61,0.84,0.54,0.5,0.54
gss.csv,0.85,1.0,0.77,1.0,1.0,0.77,0.93,0.71,0.8,0.89,0.98,0.84,0.73,0.82,0.0,0.86,0.63,1.0,0.57
jmule.csv,0.64,0.8,0.59,0.98,0.79,0.61,0.54,0.74,0.88,0.76,0.77,0.61,0.6,0.68,0.76,0.64,0.85,0.93,0.04
kwave.csv,0.79,0.74,0.07,0.9,0.69,0.77,0.72,0.6,0.84,0.86,0.71,0.75,0.56,0.77,0.74,0.78,0.82,0.8,0.64
libarchive.csv,0.6,0.48,0.85,0.7,0.79,0.56,0.54,0.63,0.38,0.62,0.82,0.39,0.59,0.75,0.5,0.66,0.52,0.02,0.55
linux-ntfs.csv,0.73,0.69,0.81,0.59,0.64,0.76,0.6,0.48,0.18,0.83,0.62,0.69,0.57,0.73,0.63,0.0,0.84,0.6,0.77
lsb.csv,0.55,0.55,0.64,0.02,0.6,0.6,0.43,0.83,0.51,0.85,0.97,0.45,0.75,0.85,0.49,0.63,0.79,0.47,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.82,0.71,0.86,0.81,0.93,0.88,0.81,0.73,0.84,0.67,0.78,0.66,0.11,0.86,0.67,0.89,0.96,0.59,0.83
qcad2.csv,0.58,0.91,0.7,0.55,0.85,0.71,0.04,0.89,0.94,0.68,0.71,0.61,0.75,0.83,0.51,0.57,0.59,0.94,0.7
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0
stemkit.csv,0.99,0.98,1.0,0.67,0.93,0.94,1.0,0.91,0.67,0.0,0.95,0.93,1.0,0.98,1.0,1.0,1.0,0.95,1.0
xinity.csv,0.83,0.94,0.8,1.0,0.97,0.68,0.7,0.83,0.73,1.01,0.78,0.97,0.71,0.0,0.76,0.93,0.63,0.96,0.81
