,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.49,0.34,0.15,0.89,0.14,0.1,0.45,0.36,0.59,0.22,0.53,0.46,0.36,0.53,0.42,0.62,0.44,0.48,0.2,0.49
alpine.csv,0.24,0.13,0.06,0.25,0.23,0.15,0.0,0.34,0.04,0.04,0.1,1.0,0.0,0.05,0.09,0.06,0.16,0.0,0.16,0.19
enzo.csv,0.63,0.55,0.52,0.56,0.47,0.64,0.49,0.5,0.29,0.62,0.73,0.51,0.67,0.56,0.52,0.62,0.96,0.05,0.6,0.58
flylinkdc.csv,0.43,0.96,0.28,0.57,0.34,0.29,0.48,0.46,0.19,0.44,0.43,0.46,0.0,0.52,0.16,0.56,0.25,0.47,0.39,0.31
fw4spl.csv,0.3,0.16,0.25,0.48,0.1,0.1,0.0,0.92,0.51,0.04,0.27,0.44,0.33,0.32,0.42,0.28,0.26,0.4,0.32,0.41
grisbi.csv,0.58,0.64,0.38,0.62,0.0,0.6,0.21,0.57,0.31,0.44,0.98,0.58,0.47,0.61,0.7,0.62,0.79,0.0,0.64,0.67
jcae.csv,0.0,0.06,0.25,0.13,0.04,0.05,1.0,0.23,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02
jcl.csv,0.12,0.17,0.12,0.36,0.07,0.12,0.13,0.1,0.39,0.0,0.06,0.29,0.48,0.05,0.01,0.15,0.01,0.88,0.11,0.19
libarchive.csv,0.37,0.47,0.47,0.55,0.56,0.58,0.77,0.63,0.4,0.51,0.47,0.53,0.25,0.51,0.34,0.72,0.64,0.0,0.61,0.9
mimosa.csv,0.61,0.52,0.58,0.61,0.13,0.58,0.63,0.65,0.36,1.0,0.63,0.46,0.46,0.4,0.47,0.57,0.68,0.46,0.6,0.58
n2cms.csv,0.59,0.64,0.51,0.56,0.42,0.98,0.46,0.46,0.47,0.5,0.62,0.64,0.47,0.39,0.55,0.55,0.66,0.49,0.62,0.6
nabu-library.csv,0.45,0.55,0.43,0.69,0.3,0.57,0.42,0.6,0.34,0.51,0.7,0.68,0.57,0.6,1.0,0.56,0.6,0.41,0.51,0.42
net-snmp.csv,0.98,0.22,0.38,0.21,0.41,0.39,0.13,0.29,0.07,0.42,0.2,0.1,0.37,0.1,0.26,0.64,0.39,0.33,0.32,0.36
ossbuild.csv,0.45,0.55,0.39,0.68,0.34,0.37,0.61,0.29,0.76,0.37,0.11,0.37,0.25,0.51,0.23,0.48,0.17,0.72,0.3,0.44
quickfast.csv,0.47,0.72,0.55,0.59,0.44,0.51,0.36,0.6,0.33,0.64,0.75,0.66,0.25,0.56,0.67,0.61,0.17,0.51,0.99,0.59
tcvp.csv,0.23,0.26,0.25,0.13,0.06,0.39,0.48,0.05,0.23,0.13,0.28,0.36,0.91,0.32,0.4,0.22,0.16,0.09,0.2,0.31
vdsf.csv,0.09,0.46,0.3,0.42,0.88,0.57,0.34,0.27,0.44,0.4,0.0,0.35,0.49,0.41,0.36,0.52,0.17,0.55,0.0,0.26
virtuoso.csv,0.0,0.49,0.52,0.24,0.09,0.54,0.43,0.54,0.42,0.09,0.0,0.05,0.0,0.14,0.24,0.98,0.0,0.24,0.22,0.56
xbrlapi.csv,0.66,0.35,0.96,0.54,0.49,0.61,0.26,0.37,0.7,0.58,0.44,0.37,0.63,0.65,0.25,0.28,0.51,0.17,0.46,0.5
yarp.csv,0.38,0.5,0.42,0.49,0.23,0.27,0.49,0.31,0.23,0.55,0.53,0.37,0.55,1.0,0.09,0.14,0.44,0.6,0.11,0.28
