,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.56,0.92,0.88,0.97,0.99,0.9,0.55,0.88,0.53,0.55,0.53,0.54,0.65,0.57,0.87,0.54,0.6,0.44,0.9,0.63
alpine.csv,0.91,0.9,0.67,0.95,0.99,0.91,0.0,0.97,0.89,0.0,0.8,0.92,0.0,0.75,0.91,0.89,0.92,0.8,0.89,0.92
enzo.csv,0.43,0.38,0.38,0.42,0.48,0.48,0.35,0.45,0.36,0.45,0.33,0.39,0.44,0.36,0.52,0.36,0.4,0.37,0.41,0.47
flylinkdc.csv,0.48,0.69,0.74,0.65,0.61,0.71,0.74,0.55,0.97,0.74,0.54,0.79,0.5,0.5,0.99,0.49,0.81,0.71,0.6,0.92
fw4spl.csv,0.97,0.76,0.95,0.89,0.94,0.95,0.93,0.98,0.99,0.9,0.93,0.88,0.56,0.94,0.81,0.97,0.97,0.71,0.79,0.73
grisbi.csv,0.36,0.37,0.36,0.41,0.26,0.37,0.29,0.4,0.33,0.34,0.32,0.35,0.34,0.38,0.4,0.32,0.35,0.37,0.33,0.46
jcae.csv,0.0,0.83,0.83,0.95,0.67,0.83,0.89,0.96,0.0,0.5,0.67,0.0,0.75,0.0,0.0,0.0,0.0,0.67,0.0,0.0
jcl.csv,0.91,0.91,0.83,0.98,0.92,0.91,0.0,0.99,0.94,0.0,0.8,0.98,0.95,0.5,0.98,0.89,0.0,0.92,0.83,0.96
libarchive.csv,0.49,0.63,0.54,0.47,0.45,0.5,0.43,0.46,0.46,0.52,0.48,0.48,0.61,0.46,0.48,0.36,0.38,0.37,0.41,0.56
mimosa.csv,0.44,0.43,0.38,0.45,0.27,0.43,0.41,0.47,0.55,0.55,0.4,0.47,0.66,0.57,0.52,0.52,0.47,0.57,0.41,0.58
n2cms.csv,0.47,0.5,0.47,0.52,0.52,0.62,0.47,0.69,0.48,0.6,0.38,0.42,0.67,0.44,0.66,0.42,0.42,0.38,0.37,0.47
nabu-library.csv,0.4,0.38,0.44,0.5,0.59,0.41,0.32,0.44,0.76,0.37,0.33,0.41,0.4,0.43,0.59,0.51,0.45,0.49,0.46,0.71
net-snmp.csv,0.56,0.86,0.75,0.97,0.59,0.68,0.94,0.92,0.82,0.73,0.92,0.96,0.89,0.88,0.75,0.48,0.7,0.74,0.78,0.75
ossbuild.csv,0.65,0.73,0.5,0.71,0.72,0.66,0.91,0.98,0.96,0.81,0.83,0.97,0.54,0.71,0.85,0.76,0.94,0.7,0.88,0.79
quickfast.csv,0.4,0.41,0.39,0.44,0.33,0.38,0.29,0.44,0.39,0.35,0.36,0.42,0.53,0.42,0.45,0.34,0.45,0.39,0.38,0.51
tcvp.csv,0.88,0.89,0.93,0.95,0.98,0.81,0.81,0.95,0.97,0.89,0.85,0.75,0.88,0.94,0.89,0.98,0.93,0.89,0.95,0.88
vdsf.csv,0.43,0.4,0.4,0.44,0.99,0.45,0.38,0.71,0.41,0.48,0.35,0.43,0.44,0.53,0.64,0.41,0.44,0.41,0.42,0.49
virtuoso.csv,0.4,0.41,0.47,0.42,0.26,0.43,0.33,0.43,0.33,0.39,0.35,0.43,0.36,0.89,0.57,0.74,0.43,0.39,0.86,0.51
xbrlapi.csv,0.57,0.73,0.54,0.7,0.36,0.5,0.78,0.75,0.8,0.56,0.59,0.83,0.4,0.7,0.96,0.98,0.58,0.88,0.63,0.53
yarp.csv,0.82,0.77,0.58,0.78,0.99,0.88,0.94,0.7,0.97,0.74,0.52,0.91,0.53,0.64,0.98,0.96,0.66,0.77,0.86,0.85
