,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.28,0.11,0.29,0.6,0.13,0.2,0.0,0.17,0.13,0.4
flylegacy.csv,0.58,0.46,0.67,0.54,0.51,0.39,0.48,0.39,0.0,0.2
ftm.csv,0.4,0.18,0.45,0.35,0.22,0.18,0.19,0.62,0.7,0.52
jcache.csv,0.63,0.67,0.63,0.45,0.45,0.55,0.36,0.32,0.37,0.9
lphant.csv,0.56,0.7,0.6,0.59,0.59,0.65,0.61,0.7,0.64,0.81
minig.csv,0.51,0.0,0.2,0.36,0.35,0.71,0.51,0.0,0.12,0.66
mob-sen-plat.csv,0.6,0.77,0.44,0.52,0.53,0.55,0.51,0.64,0.59,0.59
raygina.csv,0.76,0.0,0.55,0.54,0.26,0.42,0.47,0.39,0.13,0.4
upp-mirror.csv,0.42,0.11,0.58,0.65,0.69,0.48,0.19,0.27,0.46,0.52
yarp.csv,0.24,0.0,0.26,0.05,0.0,0.39,0.61,0.21,0.02,0.3
