,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.21,0.15,0.23,0.24,0.15,0.13,0.0,0.09,0.11,0.05
flylegacy.csv,0.58,0.25,0.23,0.4,0.59,0.85,0.29,0.45,1.0,0.95
ftm.csv,0.19,0.0,0.18,0.18,0.17,0.05,0.11,0.24,0.37,0.05
jcache.csv,0.7,0.35,0.73,0.47,0.49,0.41,0.34,0.91,0.32,0.15
lphant.csv,0.77,0.4,0.41,0.63,0.71,0.33,0.58,0.21,0.7,0.32
minig.csv,0.72,1.0,0.95,0.89,0.88,0.32,0.76,1.0,0.15,0.15
mob-sen-plat.csv,0.7,0.2,0.86,0.59,0.76,0.61,0.32,0.48,0.7,0.24
raygina.csv,0.26,0.15,0.59,0.69,0.24,0.1,0.34,0.88,0.11,0.05
upp-mirror.csv,0.49,0.1,0.73,0.46,0.34,0.54,0.16,0.18,0.14,0.12
yarp.csv,0.12,0.0,0.14,0.08,0.05,0.35,0.34,0.21,0.03,0.1
