,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.28,0.56,0.51,0.93,0.52,0.39,0.09,0.38,0.38,0.54
flylegacy.csv,0.49,0.33,0.98,0.55,0.71,0.34,0.5,0.6,0.63,0.54
jguard.csv,0.27,0.39,0.64,0.63,0.64,0.98,0.13,0.44,0.45,0.45
m-a-d-n-e-s-s.csv,0.37,0.57,0.71,0.41,0.54,0.48,0.25,0.45,0.9,0.1
mob-sen-plat.csv,0.37,0.98,0.41,0.4,0.4,0.65,0.58,0.5,0.66,0.52
raygina.csv,0.97,0.25,0.43,0.49,0.37,0.2,0.45,0.58,0.43,0.51
st-filteredstatistics.csv,0.62,0.34,0.33,0.45,0.35,0.5,0.46,1.0,0.23,0.34
upp-mirror.csv,0.53,0.07,0.5,0.66,0.98,0.16,0.62,0.06,0.63,0.14
wishmaster.csv,0.19,0.64,0.6,0.59,0.49,0.44,0.88,0.3,0.34,0.32
yarp.csv,0.49,0.11,0.37,0.12,0.11,0.24,0.09,0.32,0.44,0.96
