,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.82,0.66,0.62,0.09,0.65,0.83,0.95,0.87,0.82,0.73
flylegacy.csv,0.83,0.93,0.02,0.79,0.58,0.73,0.82,0.6,0.66,0.73
jguard.csv,0.93,0.75,0.64,0.69,0.65,0.03,0.97,0.86,0.86,0.86
m-a-d-n-e-s-s.csv,0.68,0.77,0.48,0.79,0.53,0.84,0.8,0.67,0.12,0.92
mob-sen-plat.csv,0.94,0.03,0.91,0.83,0.81,0.57,0.68,0.77,0.67,0.69
raygina.csv,0.04,0.8,0.77,0.63,0.75,0.91,0.74,0.53,0.7,0.62
st-filteredstatistics.csv,0.5,0.76,0.78,0.75,0.72,0.72,0.81,0.0,0.83,0.88
upp-mirror.csv,0.64,0.94,0.66,0.47,0.02,0.87,0.58,0.95,0.55,0.91
wishmaster.csv,0.93,0.65,0.62,0.65,0.81,0.87,0.14,0.93,0.9,0.78
yarp.csv,0.58,0.91,0.7,0.91,0.91,0.82,0.95,0.78,0.63,0.05
