,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.24,0.58,0.49,0.91,0.5,0.37,0.07,0.38,0.36,0.6
flylegacy.csv,0.68,0.76,0.98,0.91,0.84,0.3,0.71,0.62,0.76,0.6
jguard.csv,0.92,0.36,0.75,0.84,0.77,0.97,1.0,0.85,0.88,0.84
m-a-d-n-e-s-s.csv,0.32,0.85,0.75,0.4,0.5,0.7,0.21,0.41,0.88,0.08
mob-sen-plat.csv,0.4,0.97,0.6,0.4,0.38,0.7,0.64,0.54,0.84,0.52
raygina.csv,0.96,0.21,0.41,0.46,0.34,0.17,0.43,0.56,0.4,0.48
st-filteredstatistics.csv,0.6,0.3,0.29,0.44,0.31,0.5,0.5,1.0,0.2,0.32
upp-mirror.csv,0.52,0.06,0.48,0.66,0.98,0.13,0.64,0.05,0.64,0.12
wishmaster.csv,0.16,0.76,0.63,0.64,0.56,0.7,0.86,0.9,0.32,0.28
yarp.csv,0.44,0.09,0.33,0.1,0.09,0.2,0.07,0.28,0.4,0.96
