,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.27,0.61,0.61,0.96,0.57,0.31,0.08,0.48,0.28,0.48
flylegacy.csv,0.45,0.66,0.99,0.29,0.77,0.36,0.28,0.7,0.47,0.48
jguard.csv,0.52,0.45,0.76,0.3,0.71,0.98,0.32,0.8,0.45,0.54
m-a-d-n-e-s-s.csv,0.46,0.74,0.79,0.19,0.62,0.44,0.22,0.54,0.94,0.14
mob-sen-plat.csv,0.3,0.98,0.64,0.17,0.44,0.54,0.31,0.62,0.49,0.46
raygina.csv,0.98,0.33,0.52,0.28,0.44,0.18,0.24,0.68,0.35,0.48
st-filteredstatistics.csv,0.57,0.41,0.41,0.21,0.43,0.41,0.23,1.0,0.23,0.3
upp-mirror.csv,0.46,0.11,0.59,0.38,0.99,0.2,0.35,0.1,0.48,0.16
wishmaster.csv,0.17,0.71,0.7,0.28,0.56,0.43,0.92,0.81,0.24,0.33
yarp.csv,0.51,0.17,0.47,0.11,0.16,0.27,0.08,0.41,0.43,0.96
