,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.28,0.3,0.62,0.23,0.29,0.38,0.54,0.48,0.27,0.16,0.16,0.44,0.63,0.3,0.48,0.64,0.31,0.7,0.44,0.47
apertium.csv,0.44,0.27,0.32,0.28,0.54,0.45,0.47,0.09,0.25,0.67,0.62,0.11,0.26,0.49,0.29,0.49,0.36,0.22,0.0,0.49
beast-mcmc.csv,0.62,0.54,0.6,0.39,0.65,0.61,0.63,0.46,0.29,0.6,0.39,0.37,0.73,0.51,0.66,0.85,0.43,0.55,0.42,0.58
bigdata.csv,0.47,0.37,0.46,0.29,0.68,0.59,0.33,0.56,0.23,0.3,0.06,0.37,0.52,0.39,0.71,0.86,0.29,0.12,0.2,0.24
cuberok.csv,0.44,0.47,0.26,0.34,0.36,0.58,0.51,0.64,0.34,0.45,0.34,0.33,0.71,0.32,0.37,0.67,0.62,0.41,0.45,0.39
exist.csv,0.46,0.5,0.75,0.34,0.8,0.66,0.67,0.56,0.26,0.63,0.34,0.47,0.79,0.49,0.66,0.62,0.71,0.57,0.45,0.56
icescrum.csv,0.58,0.41,0.41,0.31,0.61,0.44,0.55,0.48,0.29,0.55,0.46,0.17,0.36,0.53,0.57,0.51,0.32,0.42,0.22,0.68
jbasic.csv,0.44,0.46,0.56,0.25,0.8,0.62,0.66,0.43,0.27,0.72,0.47,0.39,0.73,0.48,0.17,0.58,0.41,0.49,0.44,0.56
jgnash.csv,0.41,0.53,0.48,0.43,0.71,0.43,0.6,0.46,0.45,0.36,0.33,0.43,0.49,0.46,0.53,0.71,0.43,0.47,0.24,0.48
jrefactory.csv,0.31,0.41,0.75,0.27,0.45,0.27,0.45,0.43,0.18,0.48,0.29,0.48,0.19,0.41,0.58,0.41,0.7,0.45,0.31,0.43
jsecurity.csv,0.3,0.56,0.43,0.47,0.23,0.47,0.46,0.37,0.19,0.36,0.2,0.32,0.63,0.34,0.27,0.28,0.24,0.36,0.15,0.31
libopenmetaverse.csv,0.42,0.5,0.73,0.32,0.79,0.64,0.67,0.45,0.26,0.66,0.54,0.48,0.52,0.47,0.7,0.94,0.7,0.53,0.24,0.55
mobicents.csv,0.52,0.55,0.55,0.39,0.67,0.52,0.69,0.58,0.35,0.71,0.54,0.39,0.75,0.5,0.61,0.76,0.72,0.5,0.47,0.52
mp-rechnungs-und-kundenverwaltung.csv,0.42,0.54,0.55,0.29,0.71,0.23,0.62,0.51,0.21,0.66,0.64,0.36,0.24,0.54,0.19,0.78,0.71,0.5,0.19,0.46
opendvr.csv,0.53,0.53,0.39,0.41,0.52,0.64,0.57,0.29,0.27,0.51,0.35,0.25,0.74,0.5,0.48,0.67,0.3,0.33,0.57,0.54
openefm.csv,0.39,0.53,0.55,0.29,0.29,0.54,0.57,0.43,0.25,0.3,0.54,0.22,0.56,0.38,0.54,0.43,0.36,0.45,0.44,0.61
sidekar.csv,0.0,0.47,0.0,0.0,0.79,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
wheat.csv,0.42,0.45,0.25,0.36,0.56,0.48,0.59,0.49,0.26,0.5,0.55,0.42,0.72,0.41,0.67,0.7,0.29,0.52,0.41,0.57
wsmt.csv,0.27,0.29,0.18,0.12,0.06,0.15,0.43,0.15,0.15,0.45,0.06,0.12,0.3,0.16,0.24,0.47,0.81,0.08,0.13,0.0
yarp0.csv,0.37,0.44,0.52,0.33,0.69,0.59,0.6,0.45,0.34,0.62,0.63,0.59,0.67,0.49,0.57,0.65,0.57,0.5,0.27,0.45
