,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,1.0,0.05,0.9,0.99,1.0,0.95,0.87,0.76,0.81,0.94,0.72,0.91,0.98,0.95,0.95,0.85,0.97,0.96,0.82
delphilhlplib.csv,0.71,0.88,0.0,0.9,0.95,0.77,0.82,0.81,0.67,0.83,0.81,0.86,0.96,0.89,0.87,1.0,0.36,0.99,1.03
exordium.csv,0.64,0.64,0.77,0.93,0.16,0.58,0.92,0.8,0.71,0.83,0.45,0.75,0.78,0.82,0.97,0.74,0.94,0.84,0.45
fltk.csv,0.35,0.67,0.75,0.01,0.44,0.58,0.95,0.57,0.49,0.69,0.34,0.74,0.63,0.45,0.55,0.61,0.11,0.76,0.64
genoviz.csv,0.95,1.0,0.98,0.99,0.89,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.0
gzigzag.csv,0.54,0.93,1.03,0.62,0.56,0.07,0.92,0.85,0.88,0.76,0.77,0.79,0.92,0.78,0.8,0.82,1.0,0.74,0.63
irrlicht.csv,0.6,0.94,0.76,0.76,0.67,0.59,0.82,0.78,1.02,0.02,0.85,0.78,0.78,0.66,0.67,0.81,0.8,0.63,0.59
kmess.csv,0.74,0.79,0.63,0.68,0.59,0.7,0.87,0.92,0.75,0.67,0.74,0.72,0.77,0.68,0.69,0.05,0.94,0.69,0.49
moast.csv,1.0,1.0,0.89,1.0,1.0,0.89,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.96
mptvseries.csv,0.55,0.84,0.85,0.57,0.49,0.86,0.95,0.03,0.54,0.69,0.48,0.63,0.54,0.72,0.82,0.62,1.12,0.9,0.6
nativeclient.csv,0.5,0.68,0.77,0.69,0.49,0.56,0.84,0.61,0.66,0.71,0.61,0.48,0.77,0.58,0.77,0.66,0.73,0.03,0.67
openfrag.csv,0.76,0.64,0.69,0.53,0.68,0.67,0.91,0.52,0.8,0.63,0.54,0.61,0.64,0.02,0.63,0.71,0.38,0.69,0.7
phet.csv,0.95,0.83,0.72,0.96,1.03,0.79,0.09,0.8,0.85,0.94,0.81,0.88,0.89,0.94,0.82,0.88,1.32,0.89,0.79
qdvdauthor.csv,1.01,0.95,0.71,0.7,0.82,0.57,0.82,0.8,0.57,0.75,0.92,0.63,0.82,0.61,0.03,0.76,0.16,0.9,0.74
qse.csv,0.54,0.61,0.89,0.6,0.49,0.55,0.84,0.56,0.57,0.57,0.06,0.53,0.59,0.69,0.57,0.59,1.15,0.75,0.51
sauerbraten.csv,0.05,0.73,0.81,0.83,0.6,0.61,0.87,0.71,0.43,0.85,0.46,0.8,0.81,0.79,0.75,0.64,0.35,0.85,0.67
toped.csv,0.7,0.95,0.52,0.62,0.84,0.7,0.72,0.79,0.02,0.66,1.0,0.65,0.74,0.72,0.63,0.9,0.17,0.85,0.65
truevision.csv,0.49,0.57,0.7,0.53,0.4,0.68,0.82,0.59,0.99,0.68,0.55,0.03,0.76,0.64,0.69,0.52,0.87,0.7,0.69
zoolib.csv,0.63,0.88,0.88,0.65,0.66,0.78,0.96,0.9,0.73,0.77,0.56,0.89,0.29,0.9,0.88,0.73,0.48,0.9,0.6
