,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.97,0.95,0.83,0.99,0.68,0.72,0.94,0.84,0.76,0.93,0.51,0.89,1.0,0.92,0.9,0.87,1.0,0.92,0.8
delphilhlplib.csv,0.54,0.73,1.0,0.7,0.74,0.76,0.68,0.89,0.9,0.73,0.23,0.58,0.94,0.74,0.8,0.68,0.89,0.97,0.2
exordium.csv,0.38,0.7,0.25,0.07,0.84,0.45,0.12,0.21,0.45,0.18,0.77,0.29,0.23,0.18,0.05,0.27,0.06,0.16,0.8
fltk.csv,0.9,0.67,0.26,0.99,0.74,0.55,0.12,0.53,0.65,0.35,0.71,0.26,0.39,0.62,0.48,0.49,0.96,0.31,1.0
genoviz.csv,0.05,0.0,0.02,0.01,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0
gzigzag.csv,0.46,0.08,0.08,0.42,0.47,0.93,0.09,0.16,0.24,0.36,0.31,0.26,0.1,0.26,0.22,0.31,0.05,0.49,0.4
irrlicht.csv,0.85,0.84,0.25,0.87,0.89,0.48,0.32,0.42,0.8,0.99,0.94,0.84,0.68,0.86,0.48,0.85,0.2,0.51,0.8
kmess.csv,0.28,0.84,0.4,0.53,0.53,0.34,0.16,0.11,0.65,0.45,0.66,0.61,0.26,0.55,0.45,0.96,0.07,0.76,0.8
moast.csv,1.0,1.0,0.92,1.0,1.0,0.83,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mptvseries.csv,0.77,0.23,0.17,0.47,0.53,0.14,0.06,1.0,0.47,0.4,0.54,0.39,0.55,0.29,0.38,0.4,0.05,0.1,0.4
nativeclient.csv,0.59,0.54,0.47,0.35,0.63,0.48,0.26,0.53,0.65,0.41,0.74,0.58,0.26,0.55,0.32,0.53,0.32,0.98,0.6
openfrag.csv,0.87,0.52,0.43,0.64,0.79,0.66,0.29,0.74,0.8,0.46,0.89,0.68,0.42,0.98,0.65,0.73,0.93,0.54,0.8
phet.csv,0.13,0.22,0.36,0.05,0.05,0.59,0.91,0.42,0.22,0.06,0.23,0.37,0.29,0.44,0.32,0.35,0.03,0.56,0.4
qdvdauthor.csv,0.44,0.95,0.38,0.55,0.84,0.59,0.29,0.63,0.86,0.4,0.94,0.63,0.58,0.73,0.98,0.77,0.86,0.86,0.8
qse.csv,0.79,0.51,1.0,0.47,0.63,0.52,0.26,0.47,0.88,0.49,0.94,0.63,0.45,0.32,0.48,0.48,0.13,0.25,1.0
sauerbraten.csv,0.95,0.47,0.21,0.18,0.42,0.41,0.16,0.37,0.63,0.18,0.54,0.21,0.19,0.21,0.28,0.37,0.75,0.19,0.4
toped.csv,0.56,0.94,0.53,0.53,0.63,0.34,0.45,0.26,0.98,0.66,0.94,0.58,0.9,0.76,0.65,0.78,0.83,0.8,0.6
truevision.csv,0.82,0.59,0.45,0.62,0.74,0.69,0.46,0.58,0.57,0.38,0.6,0.97,0.26,0.79,0.5,0.54,0.88,0.31,1.0
zoolib.csv,0.38,0.14,0.15,0.36,0.37,0.24,0.04,0.11,0.27,0.34,0.46,0.11,0.71,0.11,0.22,0.41,0.52,0.1,0.4
