,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.77,0.85,0.33,0.44,0.26,0.69,0.1,0.05,0.0,0.09,0.1,0.95,0.0,0.0,0.06,0.06,0.0,0.1,0.16,0.55
array4j.csv,0.15,0.33,1.0,0.16,0.0,0.14,0.34,0.0,0.12,0.0,0.1,0.17,0.07,0.0,0.13,0.06,0.32,0.07,0.27,0.0
bzbyte.csv,0.78,0.68,0.37,0.55,0.28,0.76,0.42,0.43,0.37,0.09,0.31,0.31,0.48,0.09,0.87,0.17,0.16,1.0,0.2,0.56
capcode.csv,0.41,0.18,0.15,0.09,0.92,0.01,0.2,0.17,0.38,0.0,0.12,0.12,0.09,0.0,0.04,0.17,0.0,0.07,0.05,0.08
fm-classic.csv,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freenet.csv,0.69,0.38,0.3,0.34,0.27,0.99,0.44,0.45,0.35,0.11,0.17,0.33,0.55,0.2,0.71,0.06,0.0,0.39,0.2,0.32
hannosset.csv,0.04,0.04,0.27,0.18,0.0,0.04,0.0,0.0,0.0,0.0,0.14,0.17,0.0,0.22,0.02,0.0,1.0,0.03,0.16,0.0
haphazard.csv,0.44,0.43,0.3,0.16,0.18,0.34,0.2,0.34,0.36,0.0,1.0,0.06,0.15,0.0,0.32,0.22,0.09,0.31,0.1,0.33
intact.csv,0.62,0.55,0.28,0.23,0.23,0.53,0.98,0.11,0.2,0.0,0.27,0.32,0.43,0.1,0.42,0.55,0.07,0.71,0.29,0.24
ipfire-wall.csv,0.46,0.67,0.3,0.46,0.3,0.47,0.33,0.27,0.24,0.08,0.31,0.27,0.97,0.15,0.56,0.54,0.21,0.56,0.26,0.28
jlinalg.csv,0.82,1.0,0.34,0.51,0.24,0.75,0.4,0.41,0.19,0.1,0.29,0.29,0.5,0.09,0.89,0.58,0.16,0.75,0.29,0.52
nassp.csv,0.37,0.7,0.34,0.32,0.23,0.5,0.24,0.2,1.0,0.14,0.0,0.27,0.44,0.11,0.19,0.65,0.08,0.42,0.39,0.37
ondex.csv,0.46,0.5,0.18,0.18,0.13,0.61,0.21,0.35,0.21,0.12,0.52,0.13,0.1,0.15,0.23,0.55,0.22,0.18,0.95,0.44
optalgtoolkit.csv,0.52,0.41,0.29,1.0,0.16,0.65,0.41,0.26,0.38,0.0,0.1,0.24,0.43,0.11,0.8,0.64,0.1,0.63,0.32,0.52
pustefix.csv,0.33,0.81,0.19,0.29,0.2,0.39,0.17,1.0,0.24,0.0,0.32,0.15,0.0,0.0,0.26,0.69,0.0,0.56,0.22,0.48
soar.csv,0.84,0.64,0.37,0.52,0.27,0.73,0.44,0.42,0.33,0.11,0.37,0.25,0.51,0.1,0.9,1.0,0.19,0.76,0.24,0.48
sqlpower-library.csv,1.0,0.8,0.27,0.45,0.3,0.71,0.52,0.47,0.51,0.09,0.37,0.27,0.48,0.1,0.7,0.68,0.13,0.77,0.32,0.55
super-tux.csv,0.76,0.56,0.34,0.44,0.29,0.76,0.36,0.49,0.34,0.07,0.27,0.3,0.49,0.1,0.99,0.12,0.15,0.5,0.27,0.48
tart.csv,0.04,0.11,0.0,0.1,0.0,0.09,0.16,0.0,0.0,0.22,0.12,0.2,0.1,1.0,0.08,0.33,0.0,0.13,0.17,0.1
web-cat.csv,0.25,0.49,0.18,0.42,0.13,0.55,0.39,0.24,0.35,0.0,0.0,0.3,0.32,0.09,0.44,0.6,0.06,0.51,0.24,1.0
