,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.85,0.61,0.64,0.69,0.89,0.62,0.29,0.78,0.83,0.95
electric-core.csv,0.82,0.62,1.0,0.89,0.78,0.52,0.81,0.61,0.97,0.39
jahshakafx.csv,0.82,0.55,0.73,0.46,0.67,0.62,0.36,0.58,0.6,0.75
jython.csv,0.69,0.45,0.86,0.66,0.44,0.29,0.36,0.5,0.9,0.54
kftpgrabber.csv,0.77,0.64,0.5,0.37,0.22,0.33,0.07,0.25,0.9,0.77
mvnforum.csv,0.11,0.07,0.59,0.69,0.61,0.67,0.14,0.19,0.17,0.16
openmalaria.csv,0.92,0.62,0.86,0.57,0.89,0.67,0.74,0.92,0.8,0.82
plplot.csv,0.82,0.75,0.59,0.74,0.67,0.62,0.31,0.5,0.5,0.16
popeye-chess.csv,0.77,0.6,0.41,0.71,0.5,0.43,0.6,0.36,0.57,0.61
zxing.csv,0.72,0.48,0.59,0.34,0.61,0.24,0.38,0.14,0.6,0.75
