,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.53,0.26,0.09,0.77,0.31,0.38,0.86,0.8,0.46,0.79
electric-core.csv,0.3,0.4,0.13,0.65,0.31,0.42,0.49,0.67,0.39,0.81
jahshakafx.csv,0.58,0.44,0.57,0.76,0.27,0.46,0.71,0.68,0.6,0.84
jython.csv,0.31,0.47,0.44,0.64,0.35,0.26,0.6,0.6,0.32,0.91
kftpgrabber.csv,0.45,0.23,0.69,0.76,0.22,0.54,1.0,0.75,0.59,0.83
mvnforum.csv,0.1,0.19,0.43,0.38,0.46,0.26,0.29,0.78,0.22,0.64
openmalaria.csv,0.49,0.34,0.14,0.77,0.29,0.39,0.74,0.66,0.46,0.79
plplot.csv,0.39,0.19,0.09,0.72,0.36,0.5,0.5,0.72,0.5,0.64
popeye-chess.csv,0.54,0.44,0.56,0.66,0.23,0.43,0.69,0.68,0.46,0.87
zxing.csv,0.59,0.48,0.76,0.92,0.32,0.5,0.73,0.62,0.47,0.91
