,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.17,0.62,0.23,0.24,0.71,0.41,0.4,0.38,0.0,0.56,0.02
elateportal.csv,0.58,0.31,0.38,0.4,0.71,0.36,0.64,0.26,0.99,0.64,0.95
etics.csv,0.25,0.28,0.85,0.35,0.43,0.0,0.09,0.33,0.01,0.19,0.05
lockss.csv,0.42,0.69,0.54,0.6,0.57,0.59,0.44,0.61,0.64,0.81,0.14
pcgen.csv,0.83,1.0,0.85,0.69,1.0,0.45,0.95,0.42,1.0,1.0,1.0
personalaccess.csv,0.25,0.41,0.54,0.75,0.36,0.68,0.31,0.82,0.46,0.89,0.23
pydev.csv,0.5,0.77,0.85,0.38,0.79,0.45,0.78,0.66,0.01,0.69,0.05
rhex.csv,0.83,0.49,0.0,0.42,0.14,0.82,0.31,0.53,0.71,0.42,0.02
stuproa-cims.csv,0.17,0.13,0.23,0.71,0.43,0.36,0.58,0.25,0.51,0.56,0.07
uclmda.csv,0.17,0.08,0.08,0.07,0.0,0.0,0.05,0.07,0.99,0.03,0.07
wgs-assembler.csv,0.5,0.51,0.46,0.73,0.79,0.86,0.31,0.82,0.52,0.97,0.43
