,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.93,0.43,0.71,0.93,0.48,0.67,0.53,0.67,0.0,0.57,0.0
elateportal.csv,0.52,0.7,0.64,0.66,0.48,0.56,0.49,0.9,0.26,0.43,0.31
etics.csv,0.91,0.84,0.45,0.72,0.55,0.5,0.89,0.62,0.8,0.93,0.5
lockss.csv,0.58,0.34,0.5,0.43,0.4,0.41,0.43,0.37,0.35,0.32,0.83
pcgen.csv,0.46,0.32,0.4,0.43,0.44,0.47,0.36,0.53,0.26,0.35,0.3
personalaccess.csv,0.89,0.56,0.64,0.38,0.56,0.43,0.65,0.37,0.49,0.36,0.8
pydev.csv,0.6,0.3,0.43,0.57,0.36,0.72,0.4,0.45,0.86,0.49,0.67
rhex.csv,0.52,0.45,0.0,0.74,0.71,0.48,0.98,0.56,0.37,0.69,0.8
stuproa-cims.csv,0.75,0.91,0.83,0.41,0.53,0.6,0.7,0.66,0.46,0.43,0.67
uclmda.csv,0.92,0.83,0.91,0.89,0.9,0.0,0.93,0.91,0.27,0.91,0.75
wgs-assembler.csv,0.59,0.61,0.6,0.45,0.5,0.45,0.75,0.4,0.45,0.37,0.55
