,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.03,0.72,0.38,0.92,0.33,0.43,0.53,0.78,0.43,0.36,0.1,0.55,0.42,0.38
encog-cs.csv,0.02,0.57,0.33,0.81,0.4,0.39,0.86,0.87,0.61,0.19,0.05,0.4,0.75,0.56
extprosys.csv,0.03,0.87,0.56,0.88,0.43,0.4,0.53,0.75,0.52,0.33,0.08,0.4,0.39,0.38
intact.csv,0.03,0.85,0.41,0.73,0.44,0.49,0.33,0.62,0.52,0.33,0.08,0.33,0.39,0.3
japano.csv,0.0,0.91,0.47,0.85,0.4,0.44,0.85,0.84,0.52,0.28,0.05,0.51,0.68,0.55
lockss.csv,0.05,0.56,0.41,0.19,0.29,0.2,0.53,0.59,0.2,0.42,0.1,0.32,0.26,0.23
officefloor.csv,0.03,0.37,0.29,0.76,0.27,0.41,0.05,0.74,0.5,0.19,0.11,0.08,0.28,0.42
opennms.csv,0.0,0.54,0.04,0.06,0.59,0.11,0.58,0.0,0.28,0.38,0.04,0.29,0.13,0.0
primefaces.csv,0.03,0.88,0.44,0.74,0.42,0.41,0.76,0.84,0.52,0.33,0.05,0.46,0.75,0.53
rohxel.csv,0.03,0.73,0.41,0.55,0.2,0.41,0.85,0.81,0.54,0.3,0.07,0.39,0.65,0.0
roolo.csv,0.0,0.77,0.44,0.72,0.42,0.41,0.32,0.56,0.39,0.25,0.05,0.67,0.69,0.51
sevenupdate.csv,0.02,0.86,0.44,0.94,0.34,0.44,0.86,0.97,0.51,0.27,0.05,0.52,0.74,0.55
web-cat.csv,0.02,0.55,0.42,0.88,0.36,0.45,0.79,0.73,0.51,0.31,0.06,0.43,0.57,0.77
