,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.96,0.84,0.83,1.0,0.75,0.8,0.86,0.93,0.73,0.96,0.18
fceugc.csv,0.69,0.65,0.67,0.38,0.57,0.68,0.69,0.66,0.77,0.82,0.75
flexpay.csv,0.86,0.81,0.57,0.92,1.0,0.57,0.63,0.47,0.85,0.78,0.99
jstock.csv,0.92,0.61,0.69,0.72,0.81,0.87,0.7,0.22,0.85,0.84,0.6
keyczar.csv,0.9,0.93,0.92,0.92,1.07,0.94,0.89,0.89,0.93,0.4,0.93
modellus.csv,0.89,0.48,0.62,0.63,0.52,0.31,0.42,0.7,0.68,0.86,0.9
open-data-kit.csv,0.78,0.61,0.78,0.71,0.51,0.63,0.33,0.34,0.86,0.84,0.65
phet.csv,0.51,0.9,0.91,0.94,1.07,0.93,0.98,0.88,0.85,0.93,0.96
qtractor.csv,0.85,0.33,0.6,0.55,0.52,0.42,0.47,0.6,0.69,0.98,0.88
sumatrapdf.csv,0.94,0.59,0.97,0.84,0.32,0.64,0.89,0.6,0.89,0.52,0.78
synergyspace.csv,0.78,0.58,0.67,0.72,0.46,0.51,0.6,0.79,0.45,0.66,0.98
