,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.99,0.98,1.0,1.0,1.0,1.0,1.0,0.58,0.48,0.93,1.0,0.74,1.0,1.0,1.0,1.0,1.0,0.65
encog-cs.csv,0.67,0.8,0.9,1.0,0.84,0.74,0.6,0.63,0.78,0.77,0.6,0.53,0.9,1.0,1.0,0.74,0.85,0.36
geochat.csv,0.77,1.0,1.0,1.0,1.0,1.0,0.77,0.68,0.57,0.9,0.98,0.75,0.96,1.0,1.0,1.0,0.93,0.59
ibatisdb.csv,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,0.26,1.0,1.0,1.0,1.0,1.0,0.99
inkscape.csv,0.98,1.0,0.34,1.0,1.0,0.66,0.83,0.93,1.0,0.95,0.69,1.0,1.0,1.0,1.0,0.8,0.93,0.99
jam-daq.csv,0.72,0.71,1.0,1.0,0.8,1.0,1.0,0.38,0.81,0.78,1.0,0.71,1.0,1.0,1.0,1.0,1.0,0.7
jhotdraw.csv,1.0,1.0,1.0,1.0,1.0,0.71,1.0,0.91,0.81,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.99
ninject.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0
ofbiz.csv,0.7,1.0,0.53,1.0,1.0,0.54,0.62,0.93,0.91,1.0,0.53,0.99,1.0,1.0,1.0,0.63,0.64,1.0
oorexx.csv,0.38,0.73,0.61,0.68,0.79,0.55,0.83,0.69,0.91,0.97,0.59,0.61,0.63,0.67,0.77,0.42,0.74,0.53
opentibia.csv,0.42,0.96,1.0,1.0,0.9,1.0,0.98,0.81,0.95,0.96,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.93
projectts.csv,1.0,0.53,1.0,1.0,0.43,1.0,1.0,1.0,0.92,0.76,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.45
retromenu.csv,1.0,0.15,1.0,1.0,0.52,1.0,1.0,1.0,1.0,0.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77
roolo.csv,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.97
tango-cs.csv,0.84,0.62,0.7,0.59,0.81,0.65,0.88,0.8,0.77,1.0,0.59,0.74,0.68,0.53,0.43,0.65,0.88,0.53
trinitycore.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
uface.csv,1.0,0.84,0.97,0.93,0.89,0.95,0.59,0.91,0.62,0.82,0.68,0.79,0.95,0.92,0.67,0.96,0.93,0.1
uwom-server.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
