,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.61,0.4,0.23,0.11,0.23,0.28,0.76,0.48,0.9,0.47,0.7,0.3,0.78,0.57,0.52,0.35
amygdala.csv,0.6,0.05,0.41,0.49,0.24,0.31,0.54,0.52,0.2,0.39,0.44,0.71,0.26,0.62,0.38,0.33
awemud.csv,0.68,0.69,0.42,0.35,0.55,0.45,0.7,0.58,0.84,0.0,0.52,0.38,0.73,0.64,0.65,0.54
bullet.csv,0.6,0.49,0.42,0.71,0.34,0.73,0.47,0.3,0.2,0.1,0.21,0.56,0.44,0.11,0.38,0.6
customwars.csv,0.62,0.56,0.22,0.55,0.51,0.53,0.55,0.3,0.8,0.0,0.44,0.36,0.74,0.53,0.41,0.53
dvd-create.csv,0.51,0.63,0.51,0.19,0.81,0.67,0.42,0.66,0.77,0.1,0.32,0.68,0.43,0.6,0.59,0.63
gbif-indexingtoolkit.csv,0.51,0.52,0.5,0.05,0.37,0.26,0.46,0.58,0.18,0.0,0.59,0.43,0.61,0.36,0.41,0.38
go.csv,0.63,0.77,0.69,0.25,0.62,0.46,0.76,0.48,0.75,0.0,0.43,0.73,0.74,0.72,0.6,0.61
gss.csv,0.66,0.66,0.63,0.77,0.75,0.6,0.72,0.54,0.88,0.0,0.32,0.66,0.73,0.59,0.4,0.72
kwave.csv,0.65,0.0,0.59,0.0,0.0,0.58,0.61,0.54,0.72,0.29,0.4,0.54,0.46,0.54,0.4,0.77
lsb.csv,0.66,0.48,0.4,0.79,0.48,0.66,0.5,0.49,0.81,0.0,0.41,0.46,0.6,0.53,0.44,0.44
mpgravity.csv,0.5,0.72,0.48,0.36,0.47,0.48,0.17,0.24,0.0,0.77,0.0,0.24,0.0,0.55,0.3,0.0
qcad2.csv,0.55,0.51,0.6,0.32,0.53,0.46,0.72,0.5,0.67,0.69,0.65,0.28,0.6,0.52,0.66,0.63
qtwin.csv,0.07,0.0,0.0,0.0,0.0,0.05,0.1,0.47,0.98,0.2,0.33,0.1,0.17,0.44,0.36,0.2
roller.csv,0.66,0.76,0.35,0.39,0.53,0.2,0.48,0.55,0.38,0.46,0.49,0.37,0.24,0.7,0.53,0.0
xinity.csv,0.42,0.0,0.53,0.0,0.0,0.47,0.42,0.47,0.18,0.0,0.59,0.4,0.21,0.43,0.74,0.0
