,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.45,0.54,0.95,0.29,0.68
dynalloy.csv,1.0,0.5,0.46,0.64,0.57
findbugs.csv,0.46,0.22,0.35,0.72,0.97
runuomondains.csv,0.05,0.54,0.0,0.9,0.0
xbplayer.csv,0.16,0.94,0.43,0.66,0.33
