,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.85,0.52,0.46,0.54,0.57,0.39,0.54,0.53,0.66,0.75,0.59
gabel.csv,0.5,0.63,0.43,0.54,0.65,0.65,0.48,0.81,0.0,0.54,0.92
javaprofiler.csv,0.4,0.41,0.4,0.39,0.45,0.37,0.46,0.4,0.52,0.38,0.47
jmoney.csv,0.38,0.36,0.44,0.41,0.47,0.5,0.4,0.57,0.53,0.32,0.93
mycila.csv,0.39,0.42,0.58,0.37,0.48,0.86,0.54,0.41,0.57,0.38,0.48
neodatis-odb.csv,0.4,0.56,0.71,0.46,0.48,0.68,0.88,0.45,0.92,0.41,0.58
servicestack.csv,0.5,0.75,0.93,0.0,0.8,0.78,0.0,0.97,0.52,0.0,0.0
sqlpower-library.csv,0.33,0.39,0.5,0.37,0.44,0.4,0.45,0.39,0.45,0.38,0.46
synecdoche.csv,0.44,0.35,0.46,0.4,0.43,0.62,0.56,0.4,0.55,0.55,0.66
tmva.csv,0.42,0.37,0.39,0.83,0.45,0.36,0.51,0.4,0.41,0.91,0.5
unicase.csv,0.33,0.4,0.42,0.47,0.48,0.47,0.48,0.41,0.58,0.41,0.4
