,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,0.75,0.49,0.52,0.36,0.35,0.41,0.34,0.44
anaxagora.csv,0.55,0.42,0.72,0.39,0.45,0.58,0.82,0.37
botsnscouts.csv,0.71,0.44,0.69,0.73,0.34,0.73,0.79,0.36
emisview.csv,0.67,0.57,0.51,0.63,0.33,0.47,0.12,0.36
matrex.csv,0.08,0.16,0.67,0.54,0.13,0.83,0.33,0.17
mediaportal.csv,0.3,0.26,0.17,0.46,0.27,0.26,0.1,0.42
mediate.csv,0.67,0.24,0.7,0.63,0.21,0.6,0.5,0.38
ontopia.csv,0.5,0.45,0.41,0.59,0.23,0.56,0.89,0.35
