,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,0.86,0.39,0.44,0.22,0.43,0.32,0.22,0.6
anaxagora.csv,0.82,0.39,1.0,0.37,0.57,0.81,0.79,0.8
botsnscouts.csv,0.73,0.61,0.92,0.7,0.62,0.77,0.75,0.68
emisview.csv,0.82,0.65,0.46,0.7,0.38,0.45,0.07,0.5
matrex.csv,0.05,0.17,0.64,0.48,0.1,0.82,0.2,0.12
mediaportal.csv,0.18,0.17,0.1,0.33,0.24,0.16,0.05,0.57
mediate.csv,0.82,0.22,0.72,0.56,0.38,0.74,0.36,0.38
ontopia.csv,0.64,0.7,0.33,0.59,0.43,0.52,0.82,0.57
