,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.66,1.0,0.92,0.58,0.71,0.7,0.78,0.56,0.46,0.81,0.53,0.03
gwanted.csv,0.94,0.94,1.0,0.96,0.86,0.81,0.63,0.11,0.98,1.0,0.81,0.92
ivatamasks.csv,0.53,0.53,0.73,0.02,0.77,0.91,0.66,0.78,0.7,0.55,0.81,0.53
java-gnome.csv,0.21,0.64,0.51,0.59,0.77,0.67,0.64,0.64,0.02,0.97,0.67,0.82
orc.csv,0.96,1.0,0.0,0.96,0.95,0.74,0.89,0.56,0.96,1.0,0.85,0.95
plato.csv,1.21,0.59,0.81,0.9,0.83,0.12,0.78,0.86,0.85,0.59,0.88,0.66
rodin-b-sharp.csv,0.5,0.45,0.82,0.67,0.88,0.78,0.02,0.84,0.38,0.97,0.63,0.82
tycho.csv,0.74,0.7,0.75,0.97,0.72,0.73,0.68,0.65,0.49,0.06,0.89,0.7
umber.csv,0.0,0.61,0.6,0.63,0.75,1.03,0.67,0.67,0.39,0.8,0.86,0.77
unicase.csv,0.7,0.28,0.62,0.65,0.7,0.52,0.61,0.7,0.39,0.84,0.01,0.58
vienna-add-in.csv,0.26,0.32,0.96,0.88,0.04,0.55,0.75,0.64,0.59,1.03,0.52,0.86
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.91
