,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.09,0.42,0.0,0.1,0.5,0.2
bullet.csv,0.93,0.64,0.46,0.05,0.65,0.6
openintents.csv,0.0,0.03,0.59,0.24,0.01,0.2
pokenetonline.csv,0.13,0.58,0.63,0.29,0.19,0.0
tktoolkit.csv,0.25,0.73,0.43,0.43,0.0,0.76
zealos.csv,0.0,0.58,0.57,0.76,0.9,0.6
