,id,expected,max_bell,avge,median,bellwether,size
55,2,1,2,1.5,0.94,logicmail.csv,2
51,3,2,6,3.83,1.0,benojt.csv,6
49,4,7,17,7.5,0.995,libopenmetaverse.csv,20
57,5,2,2,1.33,0.5549999999999999,mule.csv,6
24,6,4,11,5.73,1.0,google-collections.csv,11
19,7,6,13,5.95,0.89,tmva.csv,19
29,8,4,10,4.09,0.83,freelords.csv,11
27,10,0,1,1.0,0.86,atunes.csv,1
18,11,1,4,2.25,0.865,gpsmid.csv,4
56,13,1,1,1.0,0.57,amanda.csv,3
58,14,6,19,9.05,0.98,werx.csv,20
50,15,5,16,7.31,1.0,gebr.csv,16
21,16,3,9,3.7,1.0,enlightenment.csv,10
26,17,1,3,2.0,0.7,clamav.csv,3
16,18,1,2,1.67,0.67,lmms.csv,3
28,19,3,7,3.7,0.765,knowledge.csv,10
15,20,2,6,3.17,1.0,jmule.csv,7
30,21,5,16,9.0,0.99,biopax.csv,16
59,22,2,5,3.17,0.98,ppcboot.csv,6
17,27,2,4,2.14,0.66,bochs.csv,7
25,28,4,12,5.0,0.91,uface.csv,13
20,29,5,9,3.47,0.74,kdenlive.csv,15
39,30,6,19,11.39,0.91,fleet-simulator.csv,19
6,32,3,7,3.4,0.87,pnotepad.csv,10
14,33,3,8,2.9,0.88,st-filteredstatistics.csv,10
13,34,1,4,2.5,0.795,jajuk.csv,4
7,35,7,17,9.45,0.92,mpgravity.csv,20
34,36,6,16,8.24,0.85,maya-work-in-progress.csv,17
40,37,4,10,5.18,0.9,libtorrent.csv,11
33,38,5,15,6.5,0.975,zengine.csv,16
41,39,2,3,2.0,0.6,kowari.csv,8
53,40,3,9,4.56,0.93,mscore.csv,9
47,41,2,4,2.4,0.71,adaptagrams.csv,5
22,42,2,6,2.83,1.0,irrlicht.csv,6
32,43,3,7,4.0,0.8049999999999999,passwordsafe.csv,8
31,44,2,4,2.5,0.72,minig.csv,6
23,45,2,5,2.2,0.95,pcgen.csv,5
46,46,4,11,3.18,0.9,sumatrapdf.csv,11
54,47,6,17,9.17,0.955,sylpheed-claws.csv,18
48,48,4,10,6.25,1.0,hydrogen.csv,12
52,49,5,15,6.0,0.92,sauerbraten.csv,15
3,50,4,11,6.0,0.83,critterding.csv,13
42,52,2,7,5.29,0.95,kolmafia.csv,7
38,53,5,17,8.06,0.94,fontforge.csv,17
37,54,1,2,2.0,0.86,rectracker.csv,3
43,55,3,9,5.2,1.0,nh3d.csv,12
9,56,3,6,2.12,0.855,abbot.csv,8
5,57,6,11,7.35,0.86,bwapi.csv,17
10,58,4,13,7.0,1.0,sevenupdate.csv,14
1,59,6,16,7.21,0.86,zemljanka.csv,19
12,60,2,3,1.8,0.75,oorexx.csv,5
0,61,6,13,4.94,0.86,vdsf.csv,17
36,62,2,6,2.83,0.945,buddata-ebxml-registry.csv,6
44,63,5,17,6.0,1.0,wpdev.csv,17
45,64,2,5,2.33,0.885,barracudamvc.csv,6
35,65,4,13,4.31,0.89,grisbi.csv,13
2,66,1,2,2.0,0.86,silvertree.csv,2
11,67,5,15,8.12,0.965,megasquirtavr.csv,16
4,68,3,8,3.22,1.0,jsr308-langtools.csv,9
8,69,1,1,1.0,0.6,trinitycore.csv,2
